iter	RMSE
0	1.0677977161	1.024009941
2	0.9897876861
3	0.9568052797
4	0.9272950833
5	0.9001073444
6	0.8754555944
7	0.8511287611
8	0.8334568499
9	0.8165208717
10	0.8005416961
11	0.7814551263
12	0.7654939252
13	0.7547318568
14	0.744324393
15	0.7338067439
16	0.7207669841
17	0.7100246496
18	0.699725329
19	0.6910253296
20	0.681859205
21	0.674289199
22	0.667374049
23	0.6597378989
24	0.6511466813
25	0.6441209552
26	0.6364844244
27	0.6293361249
28	0.6225908465
29	0.6181245575
30	0.6137563986
31	0.6074647995
32	0.6023478094
33	0.5977355093
34	0.5934446918
35	0.587508521
36	0.5827081529
37	0.5791576082
38	0.574610028
39	0.5705055806
40	0.5668488529
41	0.5627791522
42	0.5595585106
43	0.5552390108
44	0.5494036463
45	0.5442809349
46	0.5406690296
47	0.5377242603
48	0.5343872398
49	0.529900822
50	0.5250747037
51	0.521360741
52	0.5185232586
53	0.5150725151
54	0.5126118619
55	0.5094818451
56	0.5054415129
57	0.5016611526
58	0.4983263028
59	0.4953823642
60	0.4923597698
61	0.4887396102
62	0.4854193525
63	0.4819289819
64	0.4789706367
65	0.4772227373
66	0.4743774766
67	0.4709862782
68	0.4680439709
69	0.4648650593
70	0.4626500477
71	0.4583764083
72	0.4556298103
73	0.4523388843
74	0.4500070442
75	0.4471052973
76	0.4446314226
77	0.4415067883
78	0.4391552318
79	0.436489085
80	0.4338189739
81	0.432171057
82	0.42887629
83	0.4265493217
84	0.4238032412
85	0.4210644341
86	0.4178552203
87	0.4161543653
88	0.4142889591
89	0.4115862382
90	0.4093982605
91	0.4071627774
92	0.404868521
93	0.4022845671
94	0.4003697273
95	0.398092009
96	0.3955635532
97	0.3931348364
98	0.3904208465
99	0.3874274833
100	0.3855889944
101	0.3846362149
102	0.3827090123
103	0.3804258626
104	0.3786135861
105	0.3759555228
106	0.3746545694
107	0.3730700523
108	0.3704518794
109	0.3685565141
110	0110	0.273579111	0111	0.271933112	0112	0.271004113113	0.26978811114114	0.26835543115115	0.26746147116116	0.2658106816
117	0.2640574274
118	0.2626800051
119	0.2611366894
120	0.2602329165
121	0.2582282241
122	0.2570446832
123	0.2565807963
124	0.2549697175
125	0.2532357374
126	0.2514481636
127	0.2500804872
128	0.2489323321
129	0.2473126726
130	0.2453849818
131	0.2446354412
132	0.24306918
133	0.2419724099
134	0.2402752306
135	0.2390231126
6	0.3170616192
137	0.315539858
138	0.31451486
139	0.3130929282
140	0.3117118645
141	0.3105715312
142	0.3091912002
143	0.3079876623
144	0.3064663884
145	0.3044203988

146	0.3918068696
147	0.3913971576
148	0.390510657
149	0.3890979641
150	0.3872890801
151	0.3858716712
152	0.3845168626
153	0.3819515343
154	0.3802866478
155	0.3788044841
156	0.3772001027
157	0.3760382282
158	0.3748291804
159	0.3730868808
160	0.371644494
161	0.370162884
162	0.3692284558
163	0.3684896254
164	0.3672304547
165	0.3654990745
166	0.3642700901
167	0.3634994402
168	0.3618071375
169	0.3608577352
170	0.3594455453
171	0.3587440175
172	0.3578907718
173	0.3566761492
174	0.355574204
175	0.3547919103
176	0.3536444526
177	0.3521700689
178	0.3512090377
179	0.3496585547
180	0.3483392147
181	0.3472958021
182	0.3462635658
183	0.3451399499
184	0.3444469101
185	0.343371708
186	0.3429029401
187	0.3416922751
188	0.3405383263
189	0.3396532617
190	0.338869938
191	0.3382019918
192	0.3370521077
193	0.3359968127
194	0.3350920787
195	0.3336239698
196	0.3317460446
197	0.3308207875
198	0.3300044587
199	0.3295403126
200	0.3287263716
201	0.3282950886
