iter	Passed	Remaining
0	614	613825
1	1	2321	11582	122	2852	947979
3	3483	867477
4	3967	789484
5	4502	745880
6	5045	715707
7	5453	676280
8	5877	647229
9	6316	625287
10	6743	606338
11	7128	586917
12	7498	569293
13	7868	554167
14	8267	542911
15	8702	535224
16	9177	530649
17	9609	524227
18	9993	515998
19	10425	510867
20	10771	502140
21	11117	494218
22	11485	487900
23	11821	480734
24	12114	472446
25	12458	466727
26	12844	462872
27	13280	461024
28	13643	456830
29	14159	457829
30	14549	454774
31	14960	452550
32	15449	452730
33	15834	449878
34	16198	446626
35	16622	445105
36	17053	443851
37	17509	443270
38	17959	442539
39	18291	439000
40	18633	435843
41	19085	435342
42	19510	434230
43	19903	432453
44	20256	429891
45	20672	428737
46	21059	427010
47	21488	426186
48	21884	424742
49	22331	424307
50	22731	422981
51	23116	421431
52	23539	420609
53	23955	419656
54	24394	419149
55	24824	418471
56	25282	418271
57	25783	418753
58	26313	419672
59	26706	418394
60	27290	420092
61	27651	418346
62	28140	418538
63	28542	417436
64	29013	417350
65	29455	416842
66	29930	416792
67	30378	416369
68	30793	415490
69	31218	414766
70	31646	414078
71	32059	413205
72	32526	413038
73	32915	411882
74	33266	410288
75	33642	409020
76	34146	409311
77	34558	408504
78	34912	407017
79	35339	406402
80	35720	405275
81	36096	404102
82	36564	403973
83	36961	403053
84	37358	402151
85	37783	401555
86	38182	400696
87	38528	399297
88	38907	398250
89	39283	397203
90	39686	396424
91	40059	395373
92	40430	394305
93	40815	393388
94	41171	392209
95	41526	391043
96	41899	390052
97	42348	389781
98	42752	389089
99	43315	389841
100	43726	389209
101	44099	388251
102	44456	387162
103	44815	3861104104	45103	3844105105	45458	3833106106	45842	3825107107	46235	3818108108	46593	3808109109	46997	3802110	48220	386198
111	48662	385827
112	49079	385248
113	49491	384643
114	49909	384088
115	50349	383696
116	50787	383292
117	51186	382596
118	51594	381975
119	52019	381478
120	52414	380762
121	53309	383652
122	53870	384101
123	54392	384257
124	54917	384424
125	55319	383727
126	55826	383750
127	56238	383122
128	56699	382833
129	57144	382428
130	57582	381975
131	58083	381943
132	58580	381877
133	59069	381746
134	59588	381807
135	60099	381806
81
136	56485	355816
137	56805	354829
138	57169	354124
139	57401	352607
140	57740	351765
141	57978	350323
142	58405	350024
143	58816	349630
144	59178	348951
145	59479	347912
	37458	215640
148	37691	215269
149	37885	214682
150	38124	214356
151	38388	214166
152	38603	213708
153	38852	213436
154	39058	212931
155	39249	212352
156	39530	212253
157	39738	211771
158	39959	211358
159	40231	211213
160	40408	210574
161	40628	210164
162	40789	209453
163	40971	208854
164	41167	208331
165	41322	207608
166	41617	207588
167	41858	207300
168	42079	206911
169	42289	206472
170	42623	206638
171	42854	206298
172	43078	205930
173	43202	205085
174	43399	204595
175	43584	204056
176	43811	203711
177	43982	203112
178	44161	202550
179	44289	201764
180	44467	201210
181	44595	200436
182	44824	200118
183	44961	199393
184	45196	199108
185	45342	198434
186	45477	197719
187	45634	197102
188	45783	196459
189	46000	196107
190	46156	195499
191	46276	194745
192	46448	194215
193	46584	193542
194	46818	193274
195	46964	192650
196	47172	192283
197	47373	191884
198	47536	191341
199	47776	191107
200	47905	190431
201	48108	190051
202	48299	189627
203	48553	189452
204	48780	189171
205	48984	188803
206	49213	188532
207	49452	188298
208	49621	187801
209	49890	187681
210	50076	187253
211	50322	187047
212	50532	186709
213	51097	187674
214	51320	187378
215	51707	187677
216	51967	187512
217	52232	187366
218	52481	187160
219	52741	186991
220	52974	186727
221	53283	186732
222	53594	186739
223	53877	186647
224	54088	186305
225	54348	186131
226	54587	185884
227	54791	185521
228	55011	185211
229	55255	184986
230	55531	184864
231	55817	184776
232	56091	184644
233	56440	184759
234	56662	184454
235	57056	184709
236	57364	184678
237	57581	184356
238	57784	183992
239	57957	183533
240	58296	183596
241	58783	184122
455	185217

244	36034	111045
245	36169	110861
246	36255	110526
247	36403	110383
248	36463	109976
249	36548	109645
250	36666	109414
251	36807	109254
252	36918	109003
253	36989	108639
254	37070	108303
255	37212	108148
256	37290	107809
257	37378	107499
258	37475	107217
259	37589	106985
260	37702	106752
261	37813	106511
262	37877	106143
263	37965	105844
264	38062	105569
265	38150	105272
266	38223	104935
267	38307	104631
268	38383	104305
269	38527	104167
270	38610	103863
271	38682	103533
272	38746	103182
273	38830	102885
274	38892	102534
275	38981	102256
276	39041	101902
277	39080	101497
278	39175	101238
279	39265	100968
280	39356	100703
281	39401	100321
282	39492	100056
283	39599	99835
284	39687	99566
285	39749	99234
286	39812	98908
287	39883	98601
288	39980	98360
289	40041	98031
290	40117	97744
291	40181	97427
292	40257	97139
293	40349	96894
294	40420	96598
295	40512	96354
296	40568	96026
297	40666	95798
298	40732	95497
299	40821	95249
300	40892	94963
301	40969	94690
302	41111	94570
303	41199	94324
304	41298	94107
305	41434	93971
306	41571	93841
307	41675	93635
308	41829	93542
309	41903	93270
310	42014	93080
311	42204	93066
312	42343	92939
313	42457	92756
314	42592	92620
315	42699	92424
316	42812	92242
317	42915	92039
318	43006	91810
319	43145	91683
320	43290	91570
321	43385	91351
322	43539	91256
323	43618	91007
