x,y,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16
1670194861.239,1.3584745661017001,2.92066667,2.19,3.98,6.5226738263166,929.70338983051,100,0.10169491525424,0,0,0,0,0,0,0,0,0
1670194921.239,1.44083333,3.9836666633332998,2.98,4.8,0.70103666524833,929.795,100,0.23333333333332998,0,0,0,0,0,0,0,0,0
1670194981.245,1.3753333283333,4.24266669,3.2400002,4.98,4.1565758466183,929.75166666667,100,0.23333333333332998,0,0,0,0,0,0,0,0,0
1670195041.331,1.453333345,3.9491666866667003,3.06,5.12,3.7210055321894,929.7683333333301,100,0.23333333333332998,0,0,0,0,0,0,0,0,0
1670195101.32,1.3641666516667,4.2939999983333,3.4,5.23,1.5203191789871002,929.73,100,0.16666666666667002,0,0,0,0,0,0,0,0,0
1670195161.25,1.39916669,4.4131666366667,3.5099998,5.34,3.9759028895596003,929.7166666666699,100,0.13333333333333,0,0,0,0,0,0,0,0,0
1670195221.259,1.3994999983333,4.09466666,3.4900002,5.0099998,357.82162302455004,929.75,100,0.016666666666667,0,0,0,0,0,0,0,0,0
1670195281.261,1.4996666666667,3.8001666233332996,3.1200001,4.6,353.57520090936003,929.87166666667,100,0.3,0,0,0,0,0,0,0,0,0
1670195341.255,1.4965000066667,2.4588333433333,1.54,3.7099998,340.4817378139,929.9066666666699,100,0.15,0,0,0,0,0,0,0,0,0
1670195401.425,1.45466667,2.6000000016667,1.86,4.04,318.89577339397005,929.96,100,0.35,0,0,0,0,0,0,0,0,0
1670195461.316,1.4525000016667,2.288833345,1.75,2.76,297.96208199704,929.9616666666699,100,0.05,0,0,0,0,0,0,0,0,0
1670195521.25,1.3621666533333001,2.2388333483332996,1.55,3.23,294.01583847424,929.9233333333301,100,0,0,0,0,0,0,0,0,0,0
1670195581.248,1.38966665,3.2294999866667005,2.3,4.3,302.66417283563,929.9216666666699,100,0,0,0,0,0,0,0,0,0,0
1670195641.259,1.3210000033333,3.785333325,3.1200001,4.65,318.63816241165,929.885,100,0.1,0,0,0,0,0,0,0,0,0
1670195701.357,1.387000005,3.0151666783332995,2.1,4.0099998,328.69938768616004,929.86333333333,100,0,0,0,0,0,0,0,0,0,0
1670195761.214,1.5424999910714001,3.0194642928571005,2.31,3.6799998,322.57784326692996,929.9571428571401,100,0.28571428571429,0,0,0,0,0,0,0,0,0
1670195821.24,1.4271666766667,3.40416665,2.33,4.5,314.24940834758996,929.9633333333301,100,0.05,0,0,0,0,0,0,0,0,0
1670195881.256,1.5526666666667,3.53166667,2.71,4.3900003,320.69383290627997,930.01,100,0.21666666666667003,0,0,0,0,0,0,0,0,0
1670195941.229,1.48683333,3.7271666883332997,2.72,4.7799997,318.34100794023,930.04,100,0.05,0,0,0,0,0,0,0,0,0
1670196001.39,1.476885257377,3.7486666816667,3.02,4.18,313.03139023041,930.0508196721302,100,0,0,0,0,0,0,0,0,0,0
1670196061.279,1.4855932203389999,3.1563333433332996,2.1,3.8200002,312.72974036887996,930.0949152542402,100,0,0,0,0,0,0,0,0,0,0
1670196121.222,1.4838333333333,3.2208333483333,2.6200001,3.7900002,300.37445575952006,930.14166666667,100,0,0,0,0,0,0,0,0,0,0
1670196181.23,1.5935000016667,3.7386666916667,2.6,4.41,318.94943421067,930.26166666667,100,0.3,0,0,0,0,0,0,0,0,0
1670196241.235,1.49833333,3.051499995,2.22,4.02,325.47101916599996,930.275,100,0.1,0,0,0,0,0,0,0,0,0
1670196301.226,1.4655000016667,2.8863333333332997,1.7,3.72,329.13716070402,930.22833333333,100,0,0,0,0,0,0,0,0,0,0
1670196361.232,1.5370000166667,3.24783334,1.65,4.73,331.57881503328997,930.24833333333,100,0,0,0,0,0,0,0,0,0,0
1670196421.232,1.5795000083333,4.4601666766667005,3.0700002,5.82,339.62041901538,930.2683333333301,100,0.33333333333333,0,0,0,0,0,0,0,0,0
1670196481.296,1.4861666783333,3.3970000216667002,2.46,4.8,341.50437962358995,930.205,100,0.016666666666667,0,0,0,0,0,0,0,0,0
1670196541.239,1.4568333366667,2.9498333333332996,2.4,4.1099997,336.04630134832996,930.1716666666699,100,0,0,0,0,0,0,0,0,0,0
1670196601.245,1.5873333233333,3.4361666733333,2.69,4.54,340.45095019225,930.1883333333301,100,0.05,0,0,0,0,0,0,0,0,0
1670196661.231,1.48916666,3.3173333483332996,2.69,3.94,338.66286234842005,930.1883333333301,100,0.21666666666667003,0,0,0,0,0,0,0,0,0
1670196721.221,1.4116666616667,3.0011666633333,1.99,4.15,328.19175791549,930.12833333333,100,0,0,0,0,0,0,0,0,0,0
1670196781.223,1.5531666433333,3.0713333366667004,2.1799998,4,341.90395945737004,930.2133333333301,100,0,0,0,0,0,0,0,0,0,0
1670196841.228,1.4491666766667,3.2596666716667,2.52,4.1,335.16821533526,930.21,100,0.03333333333333299,0,0,0,0,0,0,0,0,0
1670196901.248,1.4750000016667,3.2215000066667003,2.45,4.2200003,336.66965154496,930.205,100,0,0,0,0,0,0,0,0,0,0
1670196961.225,1.55716666,3.5426666566667,2.8799999,4.38,337.55042624564,930.2133333333301,100,0.016666666666667,0,0,0,0,0,0,0,0,0
1670197021.226,1.496166685,3.8024999883332997,2.8799999,4.52,329.93019386338,930.1833333333301,100,0.11666666666667,0,0,0,0,0,0,0,0,0
1670197081.255,1.5151666783333,3.5446666616667004,2.83,4.73,333.70937385733,930.155,100,0,0,0,0,0,0,0,0,0,0
1670197141.224,1.45799998,3.07600002,2,3.7400002,350.27797600073,930.115,100,0,0,0,0,0,0,0,0,0,0
1670197201.252,1.502000005,2.815666675,1.95,3.67,356.7491824072,930.11166666667,100,0,0,0,0,0,0,0,0,0,0
1670197261.231,1.6119999833333,3.0468333216667003,2.26,3.4599998,332.32282534279,930.1716666666699,100,0.15,0,0,0,0,0,0,0,0,0
1670197321.224,1.5714999983333,3.309666675,2.58,3.78,323.44757353835,930.1766666666699,100,0,0,0,0,0,0,0,0,0,0
1670197381.223,1.5443333566667,3.2555000066667,2.6,3.8700001000000004,311.70789626491,930.1983333333301,100,0,0,0,0,0,0,0,0,0,0
