x,y,y1,y2,y3,y4
1668988812.629,9.61,11.1392,0,0,0
1668989412.595,9.73,11.1457,0,0,0
1668990012.603,9.48,11.1692,0,0,0
1668990612.625,10.21,11.1378,0,0,0
1668991212.566,9.86,11.1085,0,0,0
1668991812.575,10.15,11.1083,0,0,0
1668992412.654,10.38,11.1236,0,0,0
1668993012.589,10.18,11.1266,0,0,0
1668993612.648,10.57,11.1418,0,0,0
1668994212.585,10.97,11.0943,0,0,0
1668994812.624,10.88,11.1427,0,0,0
1668995412.651,10.96,11.1425,0,0,0
1668996012.599,10.76,11.0941,0,0,0
1668996612.662,9.98,11.085999999999999,0,0,0
1668997212.6,10.62,11.0715,0,0,0
1668997812.59,10.75,11.1097,0,0,0
1668998412.639,10.95,11.1014,0,0,0
1668999012.624,10.21,11.0631,0,0,0
1668999612.646,10.27,11.1119,0,0,0
1669000212.562,10.35,11.0848,0,0,0
1669000812.617,10.54,11.0921,0,0,0
1669001412.655,10.63,11.0859,0,0,0
1669002012.593,10.97,11.1062,0,0,0
1669002612.669,10.87,11.0983,0,0,0
1669003212.587,10.53,11.1049,0,0,0
1669003812.613,10.99,11.0745,0,0,0
1669004412.583,11.38,11.0809,0,0,0
1669005012.583,10.93,11.0698,0,0,0
1669005612.574,10.22,11.091,0,0,0
1669006212.652,10.99,11.0611,0,0,0
1669006812.717,10.53,11.0437,0,0,0
1669007412.664,11.04,11.0588,0,0,0
1669008012.659,9.82,11.0675,0,0,0
1669008612.561,10.05,11.0715,0,0,0
1669009212.613,9.84,11.0676,0,0,0
1669009812.604,9.56,11.082,0,0,0
1669010412.667,9.55,11.0467,0,0,0
1669011012.593,9.67,11.0685,0,0,0
1669011612.635,9.6,11.0595,0,0,0
1669012212.604,9.62,11.0635,0,0,0
1669012812.626,10.12,11.0581,0,0,0
1669013412.623,8.96,11.052,0,0,0
1669014012.601,10.41,11.0341,0,0,0
1669014612.655,9.52,11.0518,0,0,0
1669015212.621,9.43,11.0441,0,0,0
1669015812.555,9.91,11.0445,0,0,0
1669016412.576,9.44,11.0359,0,0,0
1669017012.655,10.52,11.0478,0,0,0
1669017612.609,10,11.0153,0,0,0
1669018212.57,10.19,11.023,0,0,0
1669018812.656,11.05,11.0361,0,0,0
1669019412.644,9.98,11.0286,0,0,0
1669020012.652,10.97,11.0147,0,0,0
1669020612.647,10.08,11.0042,0,0,0
1669021212.663,9.77,10.9774,0,0,0
1669021812.588,9.75,11.019,0,0,0
1669022412.635,10.5,10.9549,0,0,0
1669023012.618,10.57,11.0267,0,0,0
1669023612.665,10.75,11.0351,0,0,0
1669024212.649,9.95,11.0315,0,0,0
1669024812.618,10.35,11.0405,0,0,0
1669025412.649,10.68,11.0349,0,0,0
1669026012.604,9.98,11.0389,0,0,0
1669026627.99,9.83,,0,0,1
1669027212.584,10.11,11.061,0,0,0
1669027812.648,9.87,11.0583,0,0,0
1669028412.697,9.84,11.0776,0,0,0
1669029012.663,10.22,11.0762,0,0,0
1669029612.685,10.91,11.0802,0,0,0
1669030212.654,10.67,11.071,0,0,0
1669030812.543,11.85,11.133,0,0,0
1669031412.627,11.2,11.1411,0,0,0
1669032012.603,11.28,11.1289,0,0,0
1669032612.647,11.93,11.1615,0,0,0
1669033212.622,12,11.1807,0,0,0
1669033812.635,12.03,11.189,0,0,0
1669034412.621,10.98,11.1861,0,0,0
1669035012.555,11.61,11.1619,0,0,0
1669035612.644,10.78,11.154000000000002,0,0,0
1669036212.637,12.32,11.175999999999998,0,0,0
1669036812.528,10.81,11.1403,0,0,0
1669037412.62,12.18,11.1685,0,0,0
1669038012.657,10.51,11.1547,0,0,0
1669038612.649,10.37,11.1279,0,0,0
1669039212.549,10.78,11.1061,0,0,0
1669039812.595,10.11,11.1035,0,0,0
1669040412.59,10.11,11.082,0,0,0
1669041012.629,10.65,11.0871,0,0,0
1669041612.659,10.61,11.0853,0,0,0
1669042212.631,9.59,11.0716,0,0,0
1669042812.601,9.31,11.0469,0,0,0
1669043412.602,9.26,11.0545,0,0,0
1669044012.623,9.41,11.0392,0,0,0
1669044612.624,10.02,11.0554,0,0,0
1669045212.569,10.51,11.0596,0,0,0
1669045812.649,10.32,11.0476,0,0,0
1669046412.589,10.2,11.0497,0,0,0
1669047012.575,9.94,11.0094,0,0,0
1669047612.623,9.63,11.0385,0,0,0
1669048212.671,9.86,11.0411,0,0,0
1669048812.588,9.51,11.0233,0,0,0
1669049412.632,9.67,11.0169,0,0,0
1669050012.741,9.81,10.9953,0,0,0
1669050612.693,10.27,11.0103,0,0,0
1669051212.644,9.2,10.9997,0,0,0
1669051812.538,8.92,11.0106,0,0,0
1669052412.655,9.68,11.0196,0,0,0
1669053012.599,9.42,11.0159,0,0,0
1669053612.605,8.45,11.0158,0,0,0
1669054212.611,9.1,11.0173,0,0,0
1669054812.641,8.56,10.9788,0,0,0
1669055412.579,9.78,11.0274,0,0,0
1669056012.625,8.76,11.0129,0,0,0
1669056612.604,9.11,11.0079,0,0,0
1669057212.625,9.62,11.0012,0,0,0
1669057812.619,9.44,10.9863,0,0,0
1669058412.698,9.36,10.9124,0,0,0
1669059012.614,8.6,11.0003,0,0,0
1669059612.595,9.46,11.0179,0,0,0
1669060212.578,9.68,11.0012,0,0,0
1669060812.595,9.83,10.9826,0,0,0
1669061412.615,9.59,11.0101,0,0,0
1669062012.593,9.83,10.9747,0,0,0
1669062612.654,9.18,10.9902,0,0,0
1669063212.525,10.22,10.9618,0,0,0
1669063812.599,9.66,10.9826,0,0,0
1669064412.643,9.41,10.9534,0,0,0
1669065012.548,9.07,10.9786,0,0,0
1669065612.638,9.21,10.9587,0,0,0
1669066212.603,9.39,10.9817,0,0,0
1669066812.602,9.13,10.9823,0,0,0
1669067412.594,8.85,10.9741,0,0,0
1669068012.599,9.93,10.9553,0,0,0
1669068612.659,10,10.9556,0,0,0
1669069212.611,9.08,10.9733,0,0,0
1669069812.579,9.4,10.9898,0,0,0
1669070412.567,10.06,10.9956,0,0,0
1669071012.69,9.5,10.9839,0,0,0
1669071612.728,9.92,10.966,0,0,0
1669072212.675,9.49,10.9593,0,0,0
1669072812.703,9.04,10.9624,0,0,0
1669073412.608,9.99,10.9776,0,0,0
1669074012.575,9.56,10.9607,0,0,0
1669074612.627,9.85,10.9629,0,0,0
1669075212.598,10,10.9525,0,0,0
1669075812.632,9.7,10.9687,0,0,0
1669076412.611,9.71,10.9437,0,0,0
1669077012.607,9.48,10.959000000000001,0,0,0
1669077612.645,10.15,10.9709,0,0,0
1669078212.603,9.99,10.9267,0,0,0
1669078812.554,10.23,10.9404,0,0,0
1669079412.634,9.46,10.927,0,0,0
1669080012.587,9.92,10.9471,0,0,0
1669080612.643,9.86,10.9256,0,0,0
1669081212.612,9.19,10.9166,0,0,0
1669081812.615,9.16,10.9352,0,0,0
1669082412.602,9.19,10.9371,0,0,0
1669083012.594,9.91,10.9668,0,0,0
1669083612.607,9.49,10.9003,0,0,0
1669084212.594,9.66,10.9119,0,0,0
1669084812.578,9.5,10.8993,0,0,0
1669085412.601,9.36,10.9156,0,0,0
1669086012.547,9.48,10.9191,0,0,0
1669086612.624,9.83,10.9043,0,0,0
1669087212.538,9.72,10.9101,0,0,0
1669087812.615,9.94,10.8999,0,0,0
1669088412.612,10,10.9368,0,0,0
1669089012.589,10.51,10.9448,0,0,0
1669089612.607,9.74,10.9075,0,0,0
1669090212.635,9.28,10.9113,0,0,0
1669090812.586,9.71,10.9248,0,0,0
1669091412.624,9.51,10.9098,0,0,0
1669092012.658,10.47,10.9332,0,0,0
1669092612.692,8.59,10.9171,0,0,0
1669093212.738,8.86,10.9122,0,0,0
1669093812.672,8.56,10.9213,0,0,0
1669094412.652,8.41,10.912,0,0,0
1669095012.665,9.11,10.9115,0,0,0
1669095612.605,8.67,10.887,0,0,0
1669096212.645,9.44,10.9051,0,0,0
1669096812.585,9.64,10.8561,0,0,0
1669097412.574,9.06,10.866,0,0,0
1669098012.654,8.84,10.8614,0,0,0
1669098612.574,8.79,10.8966,0,0,0
1669099212.568,8.87,10.9005,0,0,0
1669099812.604,8.63,10.9043,0,0,0
1669100412.596,8.58,10.8756,0,0,0
1669101012.576,8.57,10.9108,0,0,0
1669101612.565,9.21,10.9071,0,0,0
1669102212.648,7.72,10.8423,0,0,0
1669102812.575,8.55,10.8629,0,0,0
1669103412.516,8.44,10.882,0,0,0
1669104012.654,8.66,10.8686,0,0,0
1669104612.619,7.77,10.8666,0,0,0
1669105212.621,8.52,10.8634,0,0,0
