x,y,y1,y2,y3,y4,y5,y6,y7,undefined,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25
1598911200,16.01,,15.98,,974,,1018,,,11.9,,2.4,,73.95,,1.295,,76.96,,,,,,21.16,,7.472,
1598914800,15.65,,15.63,,974,,1018,,,12.3,,3,,66.64,,1.534,,80.9,,,,,,21.1,,7.449,
1598918400,15.44,,15.43,,974,,1018,,,12.64,,4.1,,63.1,,1.771,,83.7,,,,,,21.07,,7.655,
1598922000,14.98,,14.99,,973,,1018,,,12.5,,4.1,,67.43,,1.444,,85.3,,,,,,21.05,,8.05,
1598925600,14.73,,14.71,,973,,1017,,,12.4,,2.2,,58.12,,1.087,,86.3,,,,,,21,,8.3,
1598929200,14.25,,14.21,,973,,1017,,,11,,2.6,,33.06,,1.1640000000000001,,81.3,,,,,,20.97,,8.15,
1598932800,13.11,,13.04,,972,,1017,,,10.55,,2,,48.42,,0.965,,85.1,,,,,,20.91,,7.983,
1598936400,12.21,,12.13,,972,,1016,,,10.68,,1.9,,47.02,,0.856,,91.1,,,,2.0469999999999997,,20.8,,7.7989999999999995,
1598940000,12.46,,12.4,,972,,1017,,,10.38,,2.6,,37.11,,1.571,,87.8,,,,110.4,,20.74,,8.04,
1598943600,14.49,,14.63,,972,,1017,,,10.77,,3.4,,45.42,,1.401,,77.99,,,,321,,20.71,,8.18,
1598947200,16.22,,16.11,,972,,1017,,,11.48,,4.6,,71.19,,2.197,,74.28,,,,480.6,,20.72,,8.75,
1598950800,16.54,,16.44,,972,,1016,,,12.07,,5.9,,134.5,,3.298,,75.59,,,,681.9,,20.73,,9,
1598954400,17.37,,17.18,,972,,1016,,,12.14,,6.4,,116.4,,3.648,,72.53,,,,761.1,,20.85,,8.85,
1598958000,17.45,,17.49,,972,,1016,,,11.63,,6.4,,133.3,,4.5280000000000005,,68.78,,,,350.5,,20.93,,8.8,
1598961600,18.34,,18.34,,971,,1016,,,11.19,,5.9,,126.9,,4.0889999999999995,,63.28,,,,877,,21.05,,9.38,
1598965200,18.67,,18.92,,971,,1015,,,11.48,,5,,145.1,,3.503,,62.3,,,,784.4,,21.17,,9.33,
1598968800,19.17,,19.34,,970,,1014,,,12.11,,4.3,,143.7,,2.87,,63.17,,,,622.9,,21.39,,9.4,
1598972400,20.28,,20.31,,970,,1014,,,11.46,,4.7,,100,,2.717,,57.1,,,,537.7,,21.47,,9.07,
1598976000,20.95,,20.88,,970,,1014,,,10.38,,5.3,,66.16,,2.6689999999999996,,51.23,,,,353.2,,21.56,,9.41,
1598979600,20.54,,20.48,,970,,1014,,,10.47,,5.2,,56.33,,2.174,,52.82,,,,28.93,,21.46,,9.64,
1598983200,19.09,,19,,970,,1014,,,11.27,,3.3,,46.34,,1.3019999999999998,,61.05,,,,3.5269999999999997,,21.38,,9.38,
1598986800,17.56,,17.44,,971,,1015,,,11.79,,3.9,,30.22,,1.391,,69.67,,,,,,21.25,,9.37,
1598990400,16.79,,16.65,,971,,1016,,,11.83,,2.4,,44,,1.05,,73.47,,,,,,21.23,,8.86,
1598994000,16.52,,16.41,,972,,1016,,,12.28,,3,,55.33,,1.124,,76.8,,,,,,21.24,,9.06,
1598997600,16.23,,16.17,,972,,1016,,,12.99,,4.4,,40.88,,1.643,,81.7,,,,,,21.19,,9.15,
1599001200,15.8,,15.75,,972,,1016,,,12.69,,4.1,,48.76,,1.611,,82.3,,,,,,21.16,,9.2,
1599004800,15.19,,15.17,,972,,1016,,,13.35,,2.7,,55.21,,1.2109999999999999,,89.2,,,,,,21.13,,9.15,
1599008400,14.78,,14.75,,971,,1016,,,13.49,,2.2,,54.79,,1.175,,92.4,,,,,,21.08,,8.95,
1599012000,14.46,,14.42,,972,,1016,,,13.75,,2.6,,46.9,,1.13,,96.1,,,,,,21.06,,8.66,
1599015600,14.09,,14.03,,972,,1016,,,13.77,,3,,42.43,,1.185,,98.6,,,,,,21.04,,9.28,
1599019200,13.41,,13.3,,972,,1016,,,13.82,,2.4,,29.43,,0.897,,103.7,1,,,,,21.02,,9.54,
1599022800,13.37,,13.22,,972,,1017,,,13.69,,1.9,,41.83,,0.6409999999999999,,103.5,1,,,3.568,,21,,9.42,
1599026400,13.55,,13.47,,972,,1017,,,13.28,,2.5,,56.72,,0.855,,99.2,,,,105.8,,21,,9.66,
1599030000,14.98,,15,,973,,1017,,,12.95,,4.7,,60.6,,1.929,,87.8,,,,287,,21,,8.94,
1599033600,15.72,,15.67,,973,,1017,,,12.79,,6.5,,71.35,,3.113,,83.3,,,,468,,21.03,,8.63,
1599037200,16.43,,16.25,,973,,1017,,,13.15,,4.7,,77.33,,2.658,,82.1,,,,675.4,,21.08,,8.36,
1599040800,17.2,,16.98,,973,,1017,,,13.3,,5.4,,90.9,,2.311,,79.22,,,,740.7,,21.13,,8.28,
1599044400,16.82,,16.98,,973,,1017,,,13.82,,5.4,,157.8,,4.123,,81.9,,,,808,,21.23,,8.36,
1599048000,17.3,,17.42,,973,,1017,,,13.79,,4.4,,193.4,,3.4,,79.55,,,,916,,21.32,,8.43,
1599051600,18.17,,18.22,,973,,1017,,,12.52,,2.8,,237.7,,1.587,,69.65,,,,856,,21.42,,8.25,
1599055200,18.83,,18.95,,973,,1017,,,12.55,,2.9,,246.6,,1.535,,66.6,,,,614.3,,21.43,,8.12,
1599058800,19.33,,19.34,,973,,1017,,,13.23,,2.9,,275.6,,1.252,,67.98,,,,565.3,,21.61,,8.09,
1599062400,19.74,,19.74,,973,,1017,,,13.51,,2.9,,284.2,,1.473,,67.55,,,,114.4,,21.41,,8.38,
1599066000,20.19,,20.21,,973,,1018,,,14.05,,2.2,,270,,1.4980000000000002,,67.98,,,,42.62,,21.24,,8.83,
1599069600,19.59,,19.45,,974,,1018,,,13.13,,2.7,,27.56,,0.998,,67.43,,,,2.889,,21.23,,8.44,
1599073200,19.2,,19.07,,975,,1019,,,11.26,,2.9,,39.29,,1.274,,60.72,,,,,,21.18,,8.49,
1599076800,18.35,,18.23,,976,,1020,,,10.71,,2.7,,44.58,,1.1159999999999999,,61.74,,,,,,21.26,,7.922999999999999,
1599080400,17.72,,17.64,,976,,1020,,,10.75,,2.7,,36.69,,1.15,,64.24,,,,,,21.17,,8.33,
1599084000,17.23,,17.08,,976,,1020,,,10.79,,3.6,,42.76,,1.254,,66.74,,,,,,21.1,,8.77,
1599087600,16.37,,16.13,,976,,1020,,,11.19,,1.8,,45.59,,0.998,,72.77,,,,,,21.07,,8.5,
1599091200,15.68,,15.56,,976,,1020,,,11.84,,1.5,,65,,0.736,,79.02,,,,,,21,,8.85,
1599094800,14.96,,14.23,,976,,1020,,,11.57,,2,,44.68,,1.3730000000000002,,84.3,,,,,,20.95,,8.76,
1599098400,13.87,,13.4,,976,,1021,,,12.25,,2.7,,45.29,,1.611,,93.1,,,,,,20.89,,8.73,
1599102000,13.07,,12.83,,977,,1021,,,12.36,,2.9,,35.62,,1.9680000000000002,,97.3,,,,,,20.84,,8.87,
1599105600,12.93,,12.41,,977,,1021,,,11.93,,3.3,,33.85,,2.343,,97.3,,,,,,20.65,,8.61,
1599109200,12.17,,11.85,,978,,1022,,,11.76,,3.3,,40.2,,2.23,,99.8,,,,3.2030000000000003,,20.52,,8.33,
1599112800,12.12,,12,,978,,1022,,,11.73,,3.3,,50.46,,1.72,,98.6,,,,103.6,,20.53,,8.26,
1599116400,14.63,,14.62,,979,,1023,,,12.61,,1.6,,64.12,,0.7120000000000001,,88,,,,274.2,,20.51,,8.57,
1599120000,16.39,,16.48,,979,,1023,,,14.12,,2,,196.6,,1.016,,86.2,,,,457.7,,20.66,,8.33,
1599123600,16.4,,16.31,,979,,1024,,,14.29,,3.5,,221.2,,1.986,,88.1,,,,620.9,,20.74,,8.55,
1599127200,16.8,,16.71,,980,,1024,,,14.34,,2.9,,229.1,,1.921,,86.2,,,,737.8,,20.76,,8.77,
1599130800,17.52,,17.61,,980,,1024,,,13.65,,2.2,,222.5,,1.183,,77.9,,,,765.8,,20.84,,8.7,
1599134400,18.36,,18.71,,979,,1024,,,13.17,,2,,215.7,,1.126,,70.52,,,,793.9,,20.9,,8.77,
1599138000,18.98,,19.47,,979,,1023,,,12.78,,2.2,,158.3,,1.4469999999999998,,65.44,,,,753.5,,21.01,,8.71,
1599141600,19.7,,20.08,,979,,1023,,,12.78,,2.5,,151.9,,1.831,,63.19,,,,653.2,,21.28,,8.92,
1599145200,20.68,,21.11,,979,,1023,,,10.49,,2.4,,154.8,,1.8,,50.95,,,,500.7,,21.52,,9.67,
1599148800,21.93,,22.94,,979,,1023,,,8.92,,1.4,,193.1,,0.519,,40.96,,,,319.1,,21.67,,10.5,
1599152400,22.53,,22.47,,979,,1023,,,9,,0.9,,304.6,,0.46299999999999997,,42.4,,,,142.3,,21.63,,10.24,
1599156000,22.65,,21.94,,979,,1023,,,10.1,,1.3,,26.02,,0.621,,47.29,,,,1.518,,21.61,,9.85,
1599159600,19.12,,18.85,,980,,1024,,,12.8,,1.6,,40.45,,1.053,,68.32,,,,,,21.52,,9.42,
1599163200,18.3,,18.06,,980,,1025,,,13.53,,2.1,,54.92,,0.9570000000000001,,75.1,,,,,,21.46,,10.14,
1599166800,17.6,,17.38,,981,,1025,,,13.29,,2.4,,51.09,,1.178,,77.22,,,,,,21.5,,9.3,
1599170400,16.78,,16.48,,981,,1025,,,13.21,,2.5,,37.94,,1.2409999999999999,,81.3,,,,,,21.39,,8.68,
1599174000,16.23,,15.88,,981,,1026,,,12.96,,2.7,,37.23,,2.099,,83.1,,,,,,21.27,,9.67,
1599177600,15.64,,15.31,,982,,1026,,,13.05,,2.5,,37.82,,2.084,,86.7,,,,,,21.2,,10.28,
1599181200,15.12,,14.72,,981,,1026,,,13.07,,2.7,,36.12,,2.128,,90.1,,,,,,21.07,,10.11,
1599184800,15.4,,14.77,,981,,1026,,,12.84,,2.8,,38.59,,1.9669999999999999,,88.5,,,,,,20.97,,9.62,
1599188400,14.21,,13.93,,982,,1026,,,12.98,,2.8,,36.87,,2.24,,94.3,,,,,,20.87,,9.2,
1599192000,13.95,,13.58,,981,,1026,,,12.77,,3,,37.57,,2.228,,95.2,,,,,,20.73,,9.23,
1599195600,13.44,,13.22,,982,,1026,,,12.79,,2.6,,36.84,,2.055,,97.5,,,,1.141,,20.65,,9.27,
1599199200,13.83,,13.63,,982,,1026,,,12.46,,2.6,,39.52,,1.921,,93,,,,103,,20.6,,9.36,
1599202800,16.12,,15.98,,982,,1026,,,13.57,,2.2,,44.15,,0.971,,86,,,,268.6,,20.54,,9.34,
1599206400,17.58,,17.81,,982,,1027,,,15.09,,2.1,,221.2,,1.161,,84.5,,,,453.6,,20.53,,8.71,
1599210000,17.58,,17.41,,983,,1027,,,15.43,,2.5,,224.7,,1.446,,88.4,,,,607.4,,20.68,,8.74,
1599213600,18.3,,18.06,,982,,1026,,,15.16,,2,,218.1,,1.078,,83.5,,,,717.6,,20.92,,9.31,
1599217200,18.99,,19.17,,982,,1026,,,14.62,,1.5,,202.2,,0.88,,75.2,,,,782,,21.13,,9.38,
1599220800,19.63,,20.21,,981,,1025,,,14.6,,1.8,,178.6,,1.2309999999999999,,70.44,,,,792.6,,21.27,,9.58,
1599224400,20.3,,20.95,,980,,1025,,,14.44,,2,,163.3,,1.261,,66.57,,,,748.6,,21.24,,10.06,
1599228000,20.91,,21.61,,980,,1024,,,14.63,,2.4,,156.6,,1.5719999999999998,,64.77,,,,654.8,,21.43,,9.86,
1599231600,21.42,,21.48,,979,,1023,,,15.82,,3.2,,135.1,,2.45,,70.44,,,,506.6,,22.16,,10.29,
1599235200,22,,21.98,,979,,1023,,,16.7,,3.2,,127.5,,2.6,,72.25,,,,322.2,,21.51,,10.48,
