x,y,y2,y4,y6,y8,y10,y12,y14,y16,y18,y20,y22,y24,y1,y3,y5,y7,y9,y11,y13,y15,y17,y19,y21,y23,y25
1619820000,9.55,9.5,968,1012,12.17,2.3,112,1.242,119.8,0,0,9.95,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619823600,9.19,9.12,968,1013,11.96,1,43.29,0.708,121.2,0,0,9.88,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619827200,8.91,8.84,968,1012,12.03,1,35.29,0.616,124.2,0,0,9.94,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619830800,9.17,9.03,967,1012,11.8,2,52.85,0.86,120.8,0,0,9.86,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619834400,9.21,9.13,967,1011,10.9,3,49.84,1.319,113,0,0,9.93,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619838000,9.01,8.95,967,1011,10.55,4.2,45.68,1.766,111.7,0,0,9.89,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619841600,8.58,8.5,966,1010,9.89,5.3,47.01,2.385,110.2,0,0,9.85,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619845200,8.39,8.32,966,1010,9.83,4.6,48.65,2.317,111.1,0,5.766,9.84,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619848800,8.14,8.07,966,1010,9.4,5.2,44.17,2.753,109.8,0,19.99,10.01,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619852400,8.11,8.05,966,1010,9.18,5,48.99,2.509,108.4,0,53.12,10.13,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619856000,8.39,8.35,966,1011,9.83,2.5,76.35,1.227,110.8,0,126.3,10.25,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619859600,8.85,8.8,966,1010,10.57,2.5,98.9,1.009,112.9,0,140.1,10.35,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619863200,8.91,8.89,966,1010,10.32,3.5,106.5,2.182,110.4,0,208.1,10.34,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619866800,8.99,8.96,966,1010,9.87,3.9,112.3,2.368,106.7,0,165.9,10.35,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619870400,8.85,8.85,966,1010,10.19,3.3,109.2,2.468,109.8,0,152.1,10.36,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619874000,8.77,8.77,966,1010,10.29,3.4,123,2.508,111.1,0,193.5,10.42,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619877600,8.75,8.76,965,1010,10.76,3.2,132.3,2.215,114.7,0,141.8,10.51,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619881200,8.83,8.83,965,1010,10.86,3.2,20.18,1.993,115,0,125.7,10.55,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619884800,8.82,8.8,965,1009,11.05,3.7,341.1,2.183,116.6,0,34.94,10.54,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619888400,8.96,8.93,965,1010,10.95,3.7,349.1,2.329,114.9,0,27.49,10.49,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619892000,8.87,8.85,966,1010,11.13,5.7,3.498,2.845,116.9,0,7.642,10.45,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619895600,8.38,8.32,967,1011,9.92,5.5,39.87,3.548,111.7,0,0,10.46,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619899200,7.953,7.923,968,1012,9.74,4.8,52.51,2.979,113.5,0,0,10.45,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619902800,7.608,7.581,969,1013,9.53,4.1,65.99,2.149,114.5,0,0,10.53,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619906400,7.182,7.198,969,1014,9.56,2.3,21.82,0.923,117.8,0,0,10.73,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619910000,7.064,7.046,970,1014,9.67,3.8,27.81,1.996,119.9,0,0,10.7,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619913600,7.082,7.061,970,1014,9.69,3.8,23.57,1.777,119.9,0,0,10.73,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619917200,7.105,7.057,971,1015,9.36,4.3,50.76,2.218,117.3,0,0,10.76,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619920800,6.941,6.903,971,1015,9.4,5.4,87.4,3.282,118.8,0,0,10.73,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619924400,6.99,6.927,971,1015,9.13,4.8,64.29,3.267,116.6,0,0,10.72,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619928000,6.815,6.667,972,1016,9.14,4.5,55.49,3.172,118.7,0,0,10.69,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619931600,5.75,5.621,972,1016,8.49,4.5,51.01,3.263,122.1,0,21.65,10.64,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619935200,5.374,5.34,973,1017,8.04,4.5,36.94,3.126,120.8,0,203.8,10.6,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619938800,7.495,7.781,973,1017,7.847,4.2,31.54,2.586,101.3,0,391.9,10.58,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619942400,8.57,9.08,973,1018,6.732,2.4,191.8,0.98,85.5,0,627.1,10.62,,0,0,0,0,0,0,0,0,0,0,0,0,1
1619946000,8.61,8.67,974,1018,6.022,1.9,205.3,1.26,83.7,0,747.2,10.86,,0,0,0,0,0,0,0,0,0,0,0,0,1
1619949600,8.88,8.98,974,1018,4.877,4.7,171.4,2.535,75.86,0,132.7,11.06,,0,0,0,0,0,0,0,0,0,0,0,0,1
1619953200,8.28,8.27,975,1019,3.685,6.5,317.5,3.32,73.45,0,606,11.04,,0,0,0,0,0,0,0,0,0,0,0,0,1
1619956800,8.77,8.8,975,1019,4.803,4.2,27.32,2.012,76.34,0,1035,11.28,,0,0,0,0,0,0,0,0,0,0,0,0,1
1619960400,9.09,9.11,975,1019,3.034,3.6,197.2,2.004,65.95,0,239.2,11.07,,0,0,0,0,0,0,0,0,0,0,0,0,1
1619964000,8.59,8.64,975,1019,4.387,6.2,118.2,2.99,75.05,0,257.4,11.55,,0,0,0,0,0,0,0,0,0,0,0,0,1
1619967600,9.02,9.06,975,1019,4.139,2.2,139.3,1.281,71.55,0,158.8,11.52,,0,0,0,0,0,0,0,0,0,0,0,0,1
1619971200,9.62,9.64,975,1019,3.011,3.4,176.7,1.841,63.83,0,335.9,11.44,,0,0,0,0,0,0,0,0,0,0,0,0,1
1619974800,9.89,9.98,975,1019,2.85,1.6,197.7,0.916,61.49,0,107.2,11.47,,0,0,0,0,0,0,0,0,0,0,0,0,1
1619978400,9.88,9.92,975,1020,3.822,2,111.3,0.943,66.23,0,74.77,11.4,,0,0,0,0,0,0,0,0,0,0,0,0,1
1619982000,9.13,9.03,976,1021,5.95,2,55.94,1.141,81.6,0,0,11.25,,0,0,0,0,0,0,0,0,0,0,0,0,1
1619985600,8.44,8.31,977,1021,6.631,4,342.7,1.571,89.8,0,0,11.18,,0,0,0,0,0,0,0,0,0,0,0,0,1
1619989200,7.274,7.085,977,1022,7.301,2.8,34.26,1.373,102.1,0,0,11.1,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619992800,5.689,5.573,978,1022,6.132,2.2,38.32,1.515,104.4,0,0,11.01,,0,0,0,0,0,0,0,0,1,0,0,0,1
1619996400,5.219,5.038,978,1023,4.796,2.2,46.18,1.15,98.7,0,0,10.95,,0,0,0,0,0,0,0,0,0,0,0,0,1
1620000000,5.118,4.876,978,1023,5.12,1.8,52.6,1.024,102.1,0,0,10.92,,0,0,0,0,0,0,0,0,1,0,0,0,1
1620003600,4.563,4.289,978,1022,5.062,2.4,42.34,1.322,105.9,0,0,10.88,,0,0,0,0,0,0,0,0,1,0,0,0,1
1620007200,4.206,3.86,978,1022,4.315,2.4,43.92,1.857,103.6,0,0,10.84,,0,0,0,0,0,0,0,0,1,0,0,0,1
1620010800,3.723,3.39,978,1022,4.279,3,35.74,2.251,106.8,0,0,10.8,,0,0,0,0,0,0,0,0,1,0,0,0,1
1620014400,2.93,2.737,978,1022,4.248,3.2,38.43,2.04,111.6,0,0,10.73,,0,0,0,0,0,0,0,0,1,0,0,0,1
1620018000,3.297,3.07,979,1023,3.242,2.4,42.72,1.55,101.6,0,56.48,10.64,,0,0,0,0,0,0,0,0,1,0,0,0,1
1620021600,4.458,4.448,979,1023,3.702,2.1,42.25,1.232,95.4,0,212.8,10.72,,0,0,0,0,0,0,0,0,0,0,0,0,1
1620025200,6.808,6.82,979,1023,4.661,3.2,61.26,1.534,86.4,0,405.2,10.75,,0,0,0,0,0,0,0,0,0,0,0,0,1
1620028800,7.58,7.557,979,1023,5.504,3.2,120.4,2.12,87.1,0,593.6,10.76,,0,0,0,0,0,0,0,0,0,0,0,0,1
1620032400,7.648,7.858,979,1023,6.013,3.3,166.6,2.625,88.4,0,749.6,10.89,,0,0,0,0,0,0,0,0,0,0,0,0,1
1620036000,8.1,8.16,979,1023,6.313,3.3,171.9,2.473,88.5,0,871,11.05,,0,0,0,0,0,0,0,0,0,0,0,0,1
1620039600,8.8,8.82,978,1022,6.054,2.4,225.9,1.824,83.1,0,937,11.36,,0,0,0,0,0,0,0,0,0,0,0,0,1
1620043200,9.71,9.73,978,1022,4.558,2.2,241.3,1.668,70.49,0,948,11.64,,0,0,0,0,0,0,0,0,0,0,0,0,1
1620046800,10.65,10.64,977,1021,2.328,2.4,259.7,1.631,57,0,886,11.88,,0,0,0,0,0,0,0,0,0,0,0,0,1
1620050400,11.45,11.55,976,1020,-0.511,2.2,214.2,1.342,43.44,0,783.1,12.13,,0,0,0,0,0,0,0,0,0,0,0,0,1
1620054000,11.87,12.26,975,1019,-2.209,2.1,164.2,1.433,36.74,0,645.5,12.42,,0,0,0,0,0,0,0,0,0,0,0,0,1
1620057600,12.33,12.46,974,1018,-0.51,3.3,141.9,2.079,41.18,0,466.5,12.81,,0,0,0,0,0,0,0,0,0,0,0,0,1
