x,y,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17
1664150400,13.21,83.2,0.001,1.96,13.44,0,971,0,0,0,0,0,0,0,0,0,0,0
1664151000,13.25,82.8,0.001,2.0340000000000003,6.662000000000001,0,970,0,0,0,0,0,0,0,0,0,0,0
1664151600,13.39,82.5,0.001,1.247,342.1,0,971,0,0,0,0,0,0,0,0,0,0,0
1664152200,13.38,84.1,0.001,1.531,5.682,0,971,0,0,0,0,0,0,0,0,0,0,0
1664152800,13.25,85.2,0.001,1.564,24.57,0,971,0,0,0,0,0,0,0,0,0,0,0
1664153400,13.15,84.9,0.001,1.819,336.9,0,970,0,0,0,0,0,0,0,0,0,0,0
1664154000,13.43,85.1,0.001,2.131,324,0,970,0,0,0,0,0,0,0,0,0,0,0
1664154600,13.5,84,0.001,1.881,338.5,0,970,0,0,0,0,0,0,0,0,0,0,0
1664155200,13.42,85.9,0.001,1.814,5.367999999999999,0,970,0,0,0,0,0,0,0,0,0,0,0
1664155800,13.14,86.2,0.001,2.173,28.57,0,970,0,0,0,0,0,0,0,0,0,0,0
1664156400,12.97,86,0.001,1.921,35.52,0,970,0,0,0,0,0,0,0,0,0,0,0
1664157000,13.05,85.2,0.001,1.9069999999999998,28.07,0,970,0,0,0,0,0,0,0,0,0,0,0
1664157600,13.03,85.8,0.001,1.163,54.33,0,970,0,0,0,0,0,0,0,0,0,0,0
1664158200,13.04,86.5,0.001,1.131,60.47,0,970,0,0,0,0,0,0,0,0,0,0,0
1664158800,13.18,85.8,0.001,1.321,24.62,0,970,0,0,0,0,0,0,0,0,0,0,0
1664159400,13.28,85.9,0.001,1.986,30.1,0,970,0,0,0,0,0,0,0,0,0,0,0
1664160000,13.28,85.7,0.001,1.36,36.6,0,970,0,0,0,0,0,0,0,0,0,0,0
1664160600,13.35,84.7,0.001,1.439,22.86,0,969,0,0,0,0,0,0,0,0,0,0,0
1664161200,13.21,84.7,0.001,1.8869999999999998,13.42,0,969,0,0,0,0,0,0,0,0,0,0,0
1664161800,13.31,81.5,0.001,1.24,23.96,0,969,0,0,0,0,0,0,0,0,0,0,0
1664162400,13.58,84.7,0.001,1.4680000000000002,24.34,0,969,0,0,0,0,0,0,0,0,0,0,0
1664163000,13.32,85.7,0.001,1.392,43.43,0,969,0,0,0,0,0,0,0,0,0,0,0
1664163600,13.26,86.4,0.001,1.7690000000000001,29.74,0,969,0,0,0,0,0,0,0,0,0,0,0
1664164200,13.4,84.4,0.001,2.262,29.1,0,969,0,0,0,0,0,0,0,0,0,0,0
1664164800,13.3,85.1,0.001,2.494,18.24,0,969,0,0,0,0,0,0,0,0,0,0,0
1664165400,13.47,83.9,0.001,2.35,314.9,0,969,0,0,0,0,0,0,0,0,0,0,0
1664166000,13.4,85.1,0.001,2.634,334.9,0,969,0,0,0,0,0,0,0,0,0,0,0
1664166600,13.29,86.6,0.001,2.081,319.4,0,969,0,0,0,0,0,0,0,0,0,0,0
1664167200,13.26,87.2,0.001,1.087,313.4,0,969,0,0,0,0,0,0,0,0,0,0,0
1664167800,13.26,85.9,0.002,2.62,311.6,0,969,0,0,0,0,0,0,0,0,0,0,0
1664168400,13.29,85.9,0.01,2.211,311.4,0,969,0,0,0,0,0,0,0,0,0,0,0
1664169000,13.36,84.6,0.129,2.227,292,0,969,0,0,0,0,0,0,0,0,0,0,0
1664169600,13.69,80.6,0.723,3.2569999999999997,244.9,0,969,0,0,0,0,0,0,0,0,0,0,0
1664170200,13.81,80.9,2.477,4.03,244.9,0,968,0,0,0,0,0,0,0,0,0,0,0
1664170800,13.76,77.86,6.172000000000001,4.863,226.3,0,968,0,0,0,0,0,0,0,0,0,0,0
1664171400,13.77,83.5,10.42,4.1530000000000005,236.4,0,968,0,0,0,0,0,0,0,0,0,0,0
1664172000,13.43,84.3,13.59,2.278,279.3,0,968,0,0,0,0,0,0,0,0,0,0,0
1664172600,13.24,85.4,25.37,2.491,285.8,0,968,0,0,0,0,0,0,0,0,0,0,0
1664173200,13.59,84.5,23.84,3.6660000000000004,260.6,0,968,0,0,0,0,0,0,0,0,0,0,0
1664173800,13.38,84.7,38.84,2.9019999999999997,276.1,0,968,0,0,0,0,0,0,0,0,0,0,0
1664174400,13.63,82.5,120.1,4.085,241.5,0,968,0,0,0,0,0,0,0,0,0,0,0
1664175000,13.62,84.1,133.1,3.523,280.4,0,968,0,0,0,0,0,0,0,0,0,0,0
1664175600,13.29,83.5,80.8,3.9339999999999997,302.8,0,968,0,0,0,0,0,0,0,0,0,0,0
1664176200,13.26,85.3,147.2,2.7760000000000002,294,0,968,0,0,0,0,0,0,0,0,0,0,0
1664176800,13.61,81.9,93.8,3.81,243.1,0,968,0,0,0,0,0,0,0,0,0,0,0
1664177400,13.68,81.8,193.9,4.3069999999999995,241.9,0,968,0,0,0,0,0,0,0,0,0,0,0
1664178000,13.76,79.69,226.2,3.736,247,0,968,0,0,0,0,0,0,0,0,0,0,0
1664178600,13.85,80.8,156.9,4.146,247.8,0,968,0,0,0,0,0,0,0,0,0,0,0
1664179200,13.84,80.8,94.8,3.623,251.8,0,968,0,0,0,0,0,0,0,0,0,0,0
1664179800,13.75,80.2,124.6,3.891,242.2,0,968,0,0,0,0,0,0,0,0,0,0,0
1664180400,13.93,79.57,167.7,2.7960000000000003,252.2,0,968,0,0,0,0,0,0,0,0,0,0,0
1664181000,13.99,77.59,162.2,3.092,256.1,0,968,0,0,0,0,0,0,0,0,0,0,0
1664181600,14.02,75.93,200.3,3.7110000000000003,249.3,0,968,0,0,0,0,0,0,0,0,0,0,0
1664182200,13.95,74.37,174.3,3.822,238.7,0,968,0,0,0,0,0,0,0,0,0,0,0
1664182800,14.03,74.42,187.4,3.741,244.9,0,968,0,0,0,0,0,0,0,0,0,0,0
1664183400,14.07,76.62,222.2,3.964,239,0,968,0,0,0,0,0,0,0,0,0,0,0
1664184000,14.17,74.73,230.1,3.8280000000000003,244.5,0,968,0,0,0,0,0,0,0,0,0,0,0
1664184600,14.21,77.83,227.3,3.477,247.1,0,968,0,0,0,0,0,0,0,0,0,0,0
1664185200,14.27,73.48,230.5,3.551,247.4,0,968,0,0,0,0,0,0,0,0,0,0,0
1664185800,14.24,73.99,242.3,2.984,270,0,968,0,0,0,0,0,0,0,0,0,0,0
1664186400,14.13,73.92,277.4,3.575,278.5,0,968,0,0,0,0,0,0,0,0,0,0,0
1664187000,14.27,73.95,302.8,3.3989999999999996,262.1,0,968,0,0,0,0,0,0,0,0,0,0,0
1664187600,14.48,71.29,338.9,3.6439999999999997,259.3,0,968,0,0,0,0,0,0,0,0,0,0,0
1664188200,14.45,72.6,413.6,3.983,255.1,0,968,0,0,0,0,0,0,0,0,0,0,0
1664188800,14.48,70.7,404.3,4.49,259,0,967,0,0,0,0,0,0,0,0,0,0,0
1664189400,14.59,72.12,377.1,4.253,256.6,0,967,0,0,0,0,0,0,0,0,0,0,0
1664190000,14.61,73.68,396.7,4.614,251.4,0,967,0,0,0,0,0,0,0,0,0,0,0
1664190600,14.64,75.06,386.5,5.159,246.8,0,967,0,0,0,0,0,0,0,0,0,0,0
1664191200,14.59,72.96,466.9,5.8260000000000005,237.2,0,967,0,0,0,0,0,0,0,0,0,0,0
1664191800,14.69,70.15,433.7,5.848,234,0,967,0,0,0,0,0,0,0,0,0,0,0
1664192400,14.97,67.53,509.1,5.263999999999999,238.4,0,967,0,0,0,0,0,0,0,0,0,0,0
1664193000,15.16,62.23,720.6,4.317,244.2,0,967,0,0,0,0,0,0,0,0,0,0,0
1664193600,15.37,64.95,603.6,4.69,238.9,0,967,0,0,0,0,0,0,0,0,0,0,0
1664194200,15.2,61.49,413.4,4.956,233.6,0,967,0,0,0,0,0,0,0,0,0,0,0
1664194800,15.31,59.8,319,4.235,239.1,0,966,0,0,0,0,0,0,0,0,0,0,0
1664195400,15.64,61.59,358,4.025,252.5,0,966,0,0,0,0,0,0,0,0,0,0,0
1664196000,15.79,55.13,453.1,4.592,251.8,0,966,0,0,0,0,0,0,0,0,0,0,0
1664196600,15.83,53.45,342.4,5.332000000000001,241.5,0,966,0,0,0,0,0,0,0,0,0,0,0
1664197200,15.86,60.29,329.2,4.953,245.6,0,966,0,0,0,0,0,0,0,0,0,0,0
1664197800,15.88,60.97,475.7,4.5360000000000005,249.7,0,966,0,0,0,0,0,0,0,0,0,0,0
1664198400,16.03,59.52,358.3,4.522,251.7,0,966,0,0,0,0,0,0,0,0,0,0,0
1664199000,16.09,58.05,418,4.029,261.3,0,966,0,0,0,0,0,0,0,0,0,0,0
1664199600,16.29,52.34,102.8,4.68,249.2,0,965,0,0,0,0,0,0,0,0,0,0,0
1664200200,16.2,55.78,227.4,4.33,245.9,0,965,0,0,0,0,0,0,0,0,0,0,0
1664200800,16.4,52.76,218.1,4.702,244.3,0,965,0,0,0,0,0,0,0,0,0,0,0
1664201400,16.46,52.72,219.6,5.255,245,0,965,0,0,0,0,0,0,0,0,0,0,0
1664202000,16.58,57.33,174.4,5.452999999999999,245.9,0,965,0,0,0,0,0,0,0,0,0,0,0
1664202600,16.69,53.41,196,4.987,252.5,0,965,0,0,0,0,0,0,0,0,0,0,0
1664203200,16.68,53.2,201.9,4.738,255,0,965,0,0,0,0,0,0,0,0,0,0,0
1664203800,16.79,53.36,149.8,6.156000000000001,247.2,0,965,0,0,0,0,0,0,0,0,0,0,0
1664204400,16.83,51.79,96.3,5.922999999999999,251,0,965,0,0,0,0,0,0,0,0,0,0,0
1664205000,16.9,55.95,88.5,7.82,242.2,0,965,0,0,0,0,0,0,0,0,0,0,0
