y2,y3,x,y,y1,y4
0,0,1678887300,7.81,-80.6,0
0,0,1678887600,7.74,-82.5,0
0,0,1678887900,7.98,-85.3,0
0,0,1678888200,7.98,-84.5,0
0,0,1678888500,7.77,-81.4,0
0,0,1678888800,7.63,-81.5,0
0,0,1678889100,7.72,-81.6,0
0,0,1678889400,7.92,-81.6,0
0,0,1678889700,7.75,-80.4,0
0,0,1678890000,7.85,-82.6,0
0,0,1678890300,7.84,-83.4,0
0,0,1678890600,7.89,-84.8,0
0,0,1678890900,7.88,-84.4,0
0,0,1678891200,7.89,-84.7,0
0,0,1678891500,8.22,-83.4,0
0,0,1678891800,7.78,-83.2,0
0,0,1678892100,8.18,-83.1,0
0,0,1678892400,7.96,-85.3,0
0,0,1678892700,8.2,-84.4,0
0,0,1678893000,8.22,-83.2,0
0,0,1678893300,7.95,-85.1,0
0,0,1678893600,8.13,-85.5,0
0,0,1678893900,8.08,-84,0
0,0,1678894200,7.81,-81.8,0
0,0,1678894500,8.02,-80.6,0
0,0,1678894800,8.13,-81.4,0
0,0,1678895100,8.14,-81.6,0
0,0,1678895400,7.8,-82.7,0
0,0,1678895700,8.2,-77.9,0
0,0,1678896000,8.29,-76.7,0
0,0,1678896300,8.02,-61,0
0,0,1678896600,7.96,-69.7,0
0,0,1678896900,8.34,-74.9,0
0,0,1678897200,8.37,-66.8,0
0,0,1678897500,8.04,-67.1,0
0,0,1678897800,7.82,-64.5,0
0,0,1678898100,8.06,-73.3,0
0,0,1678898400,7.98,-80.2,0
0,0,1678898700,8.23,-80.9,0
0,0,1678899000,7.68,-81.8,0
0,0,1678899300,7.58,-81.7,0
0,0,1678900500,7.73,-66.5,0
0,0,1678900800,7.16,-61.2,0
0,0,1678901100,7.19,-63,0
0,0,1678901400,7.61,-72.4,0
0,0,1678901700,7.08,-73.1,0
0,0,1678902000,7.1,-72.6,0
0,0,1678902300,7.09,-62.3,0
0,0,1678902600,7.11,-63.7,0
0,0,1678902900,6.89,-62.3,0
0,0,1678903200,6.94,-60.3,0
0,0,1678903500,7.05,-57.6,0
0,0,1678903800,7.37,-59.5,0
0,0,1678904100,6.75,-61.9,0
0,0,1678904400,7.07,-64.3,0
0,0,1678904700,7.31,-65.7,0
0,0,1678905000,7.57,-65.1,0
0,0,1678905300,7.68,-71.6,0
0,0,1678905600,7.39,-72.4,0
0,0,1678905900,7.94,-76.7,0
0,0,1678906200,7.98,-76.2,0
0,0,1678906500,7.75,-75.8,0
0,0,1678906800,7.88,-76.7,0
0,0,1678907100,7.77,-76.2,0
0,0,1678907400,7.98,-76.1,0
0,0,1678907700,7.97,-76.8,0
0,0,1678908000,7.64,-77.5,0
0,0,1678908300,7.83,-76.4,0
0,0,1678908600,7.79,-76.8,0
0,0,1678908900,7.6,-77,0
0,0,1678909200,7.94,-76.2,0
0,0,1678909500,7.78,-77,0
0,0,1678909800,7.9,-76.5,0
0,0,1678910100,7.89,-76.3,0
0,0,1678910400,7.83,-76.8,0
0,0,1678910700,7.81,-73.1,0
0,0,1678911000,7.86,-75.1,0
0,0,1678911300,8,-74.4,0
0,0,1678911600,7.75,-75,0
0,0,1678911900,7.74,-77,0
0,0,1678912200,7.81,-76,0
0,0,1678912500,7.96,-76.8,0
0,0,1678912800,7.76,-76.6,0
0,0,1678913100,7.47,-74.2,0
0,0,1678913400,7.72,-74.1,0
0,0,1678913700,7.64,-75.3,0
0,0,1678914000,7.45,-74.1,0
0,0,1678914300,7.47,-69,0
0,0,1678914600,7.26,-69.4,0
0,0,1678914900,7.65,-67.6,0
0,0,1678915200,7.64,-70.7,0
0,0,1678915500,7.55,-70.6,0
0,0,1678915800,7.65,-73.9,0
0,0,1678916100,7.49,-73.6,0
0,0,1678916400,7.27,-73.2,0
0,0,1678916700,7.13,-73.3,0
0,0,1678917000,6.95,-73.6,0
0,0,1678917300,7.47,-71.4,0
0,0,1678917600,6.89,-70,0
0,0,1678917900,7.12,-72,0
0,0,1678918200,6.81,-69.7,0
0,0,1678918500,7.06,-71.5,0
0,0,1678918800,7.5,-68.8,0
0,0,1678919100,7.1,-67.8,0
0,0,1678919400,7.15,-70.2,0
0,0,1678919700,7.4,-70.3,0
0,0,1678920000,7.79,-70.9,0
0,0,1678920300,7.06,-70,0
0,0,1678920600,7.22,-70.1,0
0,0,1678920900,7.29,-70.1,0
0,0,1678921200,7.2,-70.4,0
0,0,1678921500,6.85,-70,0
0,0,1678921800,7.64,-71.1,0
0,0,1678922100,7.43,-71.3,0
0,0,1678922400,7.31,-70.5,0
0,0,1678922700,7.33,-69.4,0
0,0,1678923000,7.58,-71.6,0
0,0,1678923300,7.44,-70.3,0
0,0,1678923600,7.41,-70.1,0
0,0,1678923900,7.53,-69,0
0,0,1678924200,7.36,-69.7,0
0,0,1678924500,7.62,-70.4,0
0,0,1678924800,7.77,-69.1,0
0,0,1678925100,7.71,-68.8,0
0,0,1678925400,7.55,-68.8,0
0,0,1678925700,7.61,-68.9,0
0,0,1678926000,7.84,-67.9,0
0,0,1678926300,7.54,-68.5,0
0,0,1678926600,7.61,-69.1,0
0,0,1678926900,7.88,-68.3,0
0,0,1678927200,7.46,-68.5,0
0,0,1678927500,7.63,-68.5,0
0,0,1678927800,7.59,-69.1,0
0,0,1678928100,7.8,-68.5,0
0,0,1678928400,7.42,-69.1,0
0,0,1678928700,7.36,-68,0
0,0,1678929000,7.68,-67.8,0
0,0,1678929300,7.79,-69.3,0
0,0,1678929600,7.35,-70.4,0
0,0,1678929900,7.63,-70.5,0
0,0,1678930200,7.63,-70.6,0
0,0,1678930500,7.71,-70.9,0
0,0,1678930800,7.52,-71.3,0
0,0,1678931100,7.67,-70.8,0
0,0,1678931400,7.58,-70.5,0
0,0,1678931700,7.42,-70.7,0
0,0,1678932000,7.73,-70.9,0
0,0,1678932300,7.5,-70.2,0
0,0,1678932600,7.5,-68.7,0
0,0,1678932900,7.36,-69.2,0
0,0,1678933200,7.62,-70.5,0
0,0,1678933500,7.52,-69.6,0
0,0,1678933800,7.51,-70.1,0
0,0,1678934100,7.62,-70.6,0
0,0,1678934400,7.62,-70.9,0
0,0,1678934700,7.42,-71.5,0
0,0,1678935000,7.44,-70.7,0
0,0,1678935300,7.3,-70.8,0
0,0,1678935600,6.85,-70.7,0
0,0,1678935900,6.92,-70.8,0
0,0,1678936200,6.73,-71.3,0
0,0,1678936500,6.91,-71,0
0,0,1678936800,7.02,-70.6,0
0,0,1678937100,6.9,-71,0
0,0,1678937400,6.88,-70.9,0
0,0,1678937700,6.59,-70.9,0
0,0,1678938000,7.11,-70.8,0
0,0,1678938300,7.21,-71.2,0
0,0,1678938600,7.06,-71.3,0
0,0,1678938900,6.97,-70.4,0
0,0,1678939200,7.07,-71.3,0
0,0,1678939500,7.03,-70,0
0,0,1678939800,7.02,-70,0
0,0,1678940100,7.02,-70.7,0
0,0,1678940400,7.18,-70.7,0
0,0,1678940700,7.02,-71.1,0
0,0,1678941000,7.44,-70.4,0
0,0,1678941300,7.34,-70.9,0
0,0,1678941600,7.11,-69.6,0
0,0,1678941900,7.17,-68.9,0
0,0,1678942200,6.98,-70.3,0
0,0,1678942500,7.11,-69.3,0
0,0,1678942800,7.23,-68.6,0
0,0,1678943100,7.02,-68.7,0
0,0,1678943400,7.11,-68,0
0,0,1678943700,7.05,-69.2,0
0,0,1678944000,7.1,-69.3,0
0,0,1678944300,7.12,-70.2,0
0,0,1678944600,7.06,-69.6,0
0,0,1678944900,7.04,-68.4,0
0,0,1678945200,7.05,-69.7,0
0,0,1678945500,7.3,-68.2,0
0,0,1678945800,7.1,-66.7,0
0,0,1678946100,6.97,-66.7,0
0,0,1678946400,7.15,-66.6,0
0,0,1678946700,7.25,-64.8,0
0,0,1678947000,6.86,-64.6,0
0,0,1678947300,6.9,-65.6,0
0,0,1678947600,6.83,-65.8,0
0,1,1678947900,,-65.6,0
0,0,1678948200,7.06,-67.5,0
0,1,1678948500,,-67.4,0
0,0,1678948800,6.75,-67.5,0
0,0,1678949100,7.34,-53.2,0
0,0,1678949400,6.94,-51.2,0
0,0,1678949700,7.2,-59,0
0,0,1678950000,6.77,-67.4,0
0,0,1678950300,6.58,-63.4,0
0,0,1678950600,7.07,-70.4,0
0,0,1678950900,7.17,-54.9,0
0,0,1678951200,6.83,-53.7,0
0,0,1678951500,6.94,-68.8,0
0,0,1678951800,6.96,-66.6,0
0,0,1678952100,6.88,-71,0
0,0,1678952400,6.6,-70.3,0
0,0,1678952700,6.7,-69.6,0
0,0,1678953000,6.74,-69.5,0
0,0,1678953300,6.4,-67.7,0
0,0,1678953600,7,-68.2,0
0,0,1678953900,7.29,-68.5,0
0,0,1678954200,7.1,-62.8,0
0,0,1678954500,7.42,-64.2,0
0,0,1678954800,7.17,-62.4,0
0,0,1678955100,7.61,-58.5,0
0,0,1678955400,7.27,-61.8,0
0,0,1678955700,7.29,-57.7,0
0,0,1678956000,7.8,-59.2,0
0,0,1678956300,7.49,-52.4,0
0,0,1678956600,7.06,-44.5,0
0,0,1678956900,7.88,-41.5,0
0,0,1678957200,7.78,-45.9,0
0,0,1678957500,7.69,-41.8,0
0,0,1678957800,7.79,-40.2,0
0,0,1678958100,7.92,-40.2,0
0,0,1678958400,7.16,-42.3,0
0,0,1678958700,7.45,-38.1,0
0,0,1678959000,7.47,-37.8,0
0,1,1678959300,,-34.9,0
0,0,1678959600,7.3,-34.3,0
0,0,1678959900,7.2,-39.1,0
0,0,1678960200,7.35,-41.2,0
0,0,1678960500,7.57,-44.3,0
0,0,1678960800,7.51,-45.5,0
0,0,1678961100,7.62,-46.8,0
0,0,1678961400,7.59,-51.4,0
0,0,1678961700,7.56,-47.4,0
0,0,1678962000,7.79,-46.8,0
0,0,1678962300,8.13,-47.4,0
0,0,1678962600,7.37,-40,0
0,0,1678962900,7.84,-46.4,0
0,0,1678963200,7.93,-48.4,0
0,0,1678963500,7.52,-54,0
0,0,1678963800,7.92,-52.1,0
0,0,1678964100,8,-50.2,0
0,0,1678964400,7.92,-55.3,0
0,0,1678964700,7.98,-58.1,0
0,0,1678965000,7.79,-58.9,0
0,1,1678965300,,-60.8,0
0,0,1678965600,8.12,-59.6,0
0,0,1678965900,8.21,-64.8,0
0,0,1678966200,8.24,-69.9,0
0,0,1678966500,8.38,-71.6,0
0,0,1678966800,8.34,-72.5,0
0,1,1678967100,,-73.1,0
0,0,1678967400,8.43,-72.3,0
0,0,1678967700,8.94,-73.5,0
0,0,1678968000,8.84,-73.6,0
0,1,1678968300,,-75,0
0,0,1678968600,8.8,-76.1,0
0,1,1678968900,,-77,0
0,0,1678969200,8.75,-77.1,0
0,0,1678969500,8.86,-75.9,0
0,0,1678969800,9.03,-75.9,0
0,0,1678970100,9.1,-70.6,0
0,1,1678970400,,-70.5,0
0,0,1678970700,8.97,-72.1,0
0,1,1678971000,,-66.3,0
0,0,1678971300,8.93,-67.7,0
0,0,1678971600,8.86,-65.5,0
0,0,1678971900,8.73,-66.8,0
0,0,1678972200,8.88,-72.9,0
0,0,1678972500,9.16,-72.6,0
0,0,1678972800,8.86,-71,0
0,0,1678973100,9.1,-67.3,0
0,0,1678973400,8.95,-73.7,0
0,0,1678973700,9.13,-77,0
0,0,1678974000,8.92,-75.5,0
0,0,1678974300,8.82,-75.5,0
0,0,1678974600,8.69,-76.6,0
0,0,1678974900,8.58,-75.5,0
0,0,1678975200,8.29,-75.2,0
0,0,1678975500,8.14,-73.6,0
0,0,1678975800,8.29,-74.6,0
0,0,1678976100,8.57,-75.7,0
0,0,1678976400,8.45,-74.3,0
0,0,1678976700,8.46,-72.6,0
0,0,1678977000,8.43,-75.9,0
0,0,1678977300,8.3,-75.1,0
0,0,1678977600,8.42,-74.1,0
0,0,1678977900,8.32,-73.4,0
0,0,1678978200,8.31,-75.2,0
0,0,1678978500,8.33,-74.9,0
0,0,1678978800,8.21,-77.2,0
0,0,1678979100,8.31,-75.7,0
0,0,1678979400,8.73,-72.7,0
0,0,1678979700,8.41,-71.5,0
0,0,1678980000,8.39,-70.8,0
0,0,1678980300,8.56,-72.1,0
0,0,1678980600,8.71,-70.6,0
0,0,1678980900,8.46,-67.3,0
0,0,1678981200,8.61,-72.1,0
0,0,1678981500,8.6,-68.5,0
0,0,1678981800,8.66,-67.3,0
0,0,1678982100,8.88,-68.9,0
0,0,1678982400,8.26,-69.7,0
0,0,1678982700,8.2,-70.8,0
0,0,1678983000,8.34,-70.8,0
0,0,1678983300,8.38,-73,0
0,0,1678983600,8.24,-69.6,0
0,0,1678983900,8.06,-65.6,0
0,0,1678984200,7.98,-66.1,0
0,0,1678984500,8.34,-63.7,0
0,0,1678984800,8.39,-61.9,0
0,0,1678985100,8.09,-62.4,0
0,0,1678985400,7.71,-61.3,0
0,0,1678985700,7.84,-61.4,0
0,0,1678986000,7.88,-58.2,0
0,0,1678986300,7.96,-55.9,0
0,0,1678986600,7.97,-58.8,0
0,0,1678986900,8.51,-62.8,0
0,0,1678987200,8.07,-66.8,0
0,0,1678987500,8.24,-68.3,0
0,0,1678987800,7.94,-65.2,0
0,0,1678988100,7.9,-62.8,0
0,0,1678988400,8.08,-63.2,0
0,0,1678988700,8.17,-66.3,0
0,0,1678989000,7.86,-63.2,0
0,0,1678989300,8.06,-64.3,0
0,0,1678989600,8.4,-64,0
0,0,1678989900,7.99,-63.1,0
0,0,1678990200,8.06,-62.1,0
0,0,1678990500,7.69,-58.9,0
0,0,1678990800,8.04,-60.9,0
0,0,1678991100,7.93,-62,0
0,0,1678991400,8.07,-64.5,0
0,0,1678991700,7.39,-66.9,0
0,0,1678992000,7.88,-68,0
0,0,1678992300,8.38,-68.8,0
0,0,1678992600,7.9,-68.5,0
0,0,1678992900,7.55,-69.1,0
0,0,1678993200,7.45,-67.9,0
0,0,1678993500,7.8,-67.4,0
0,0,1678993800,7.14,-69.1,0
0,0,1678994100,7.59,-73.4,0
0,0,1678994400,7.48,-72.8,0
0,0,1678994700,7.51,-72.1,0
0,0,1678995000,7.75,-73.1,0
0,0,1678995300,7.4,-73.6,0
0,0,1678995600,7.81,-73.4,0
0,0,1678995900,7.87,-72.7,0
0,0,1678996200,7.14,-70.8,0
0,0,1678996500,7.8,-73.3,0
0,0,1678996800,7.49,-73.2,0
0,0,1678997100,7.89,-74.3,0
0,0,1678997400,7.85,-73.3,0
0,0,1678997700,7.56,-72.5,0
0,0,1678998000,7.54,-72.8,0
0,0,1678998300,7.45,-73.1,0
0,0,1678998600,7.78,-70.6,0
0,0,1678998900,7.8,-67.5,0
0,0,1678999200,7.62,-69.2,0
0,0,1678999500,7.76,-64.8,0
0,0,1678999800,7.38,-64.6,0
0,0,1679000100,7.49,-64.4,0
0,0,1679000400,7.55,-62.3,0
0,0,1679000700,7.63,-64.6,0
0,0,1679001000,7.19,-63.5,0
0,0,1679001300,7.48,-61.6,0
0,0,1679001600,7.56,-63,0
0,0,1679001900,7.43,-64.4,0
0,0,1679002200,7.61,-62.4,0
0,0,1679002500,7.88,-58.9,0
0,0,1679002800,7.65,-57.9,0
0,0,1679003100,7.71,-55.5,0
0,0,1679003400,7.91,-61,0
0,0,1679003700,7.78,-58.7,0
0,0,1679004000,7.53,-59.2,0
0,0,1679004300,7.77,-57.1,0
0,0,1679004600,7.61,-60.8,0
0,0,1679004900,7.49,-59.7,0
0,0,1679005200,7.5,-59.4,0
0,0,1679005500,7.49,-60.2,0
0,0,1679005800,7.37,-63.1,0
0,0,1679006100,7.82,-64.5,0
0,1,1679006400,,-64.9,0
0,0,1679006700,7.26,-59.9,0
0,0,1679007000,7.65,-56.5,0
0,0,1679007300,7.64,-54.2,0
0,0,1679007600,7.71,-50.1,0
0,0,1679007900,7.45,-46.7,0
0,0,1679008200,7.89,-54.5,0
0,0,1679008500,7.65,-48.5,0
0,0,1679008800,7.49,-50.2,0
0,0,1679009100,7.65,-54.3,0
0,0,1679009400,7.54,-59.2,0
0,0,1679009700,7.51,-63.8,0
0,0,1679010000,7.52,-64.7,0
0,0,1679010300,7.75,-63.3,0
0,0,1679010600,7.66,-57.5,0
0,0,1679010900,7.57,-46.8,0
0,1,1679011200,,-54.2,0
0,1,1679011500,,-58.3,0
0,1,1679011800,,-53.4,0
0,0,1679012100,7.39,-49.7,0
0,1,1679012400,,-47.6,0
0,1,1679012700,,-46.4,0
0,1,1679013000,,-53.7,0
0,1,1679013300,,-62.5,0
0,1,1679013600,,-53.7,0
0,1,1679013900,,-64.9,0
0,1,1679014200,,-67.4,0
0,1,1679014500,,-68,0
0,1,1679014800,,-67.5,0
0,1,1679015100,,-68.4,0
0,1,1679015400,,-66.8,0
0,0,1679015700,7.47,-66.4,0
0,1,1679016000,,-64.5,0
0,0,1679016300,7.87,-50.7,0
0,1,1679016600,,-51.1,0
0,1,1679016900,,-64.2,0
0,1,1679017200,,-68.2,0
0,1,1679017500,,-63.9,0
0,1,1679017800,,-65.3,0
0,1,1679018100,,-60.7,0
0,0,1679018400,7.6,-63.4,0
0,1,1679018700,,-67.7,0
0,1,1679019000,,-66.2,0
0,1,1679019300,,-65.9,0
0,1,1679019600,,-64.8,0
0,1,1679019900,,-61.2,0
0,1,1679020200,,-60.3,0
0,1,1679020500,,-59.5,0
0,1,1679020800,,-56,0
0,1,1679021100,,-54.6,0
0,1,1679021400,,-53.3,0
0,1,1679021700,,-50.7,0
0,1,1679022000,,-47,0
