x,y,y1,y2,y3,y4,y5,y6,y7,undefined,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25
1559340000,19.11,,18.84,,979,,1023,,,8.87,,2.8,,44.96,,1.732,,52.47,,,,,,15.36,,8.45,
1559343600,18.73,,18.5,,979,,1023,,,8.96,,4,,60.88,,2.059,,53.95,,,,,,14.85,,8.54,
1559347200,18.29,,17.98,,979,,1023,,,8.94,,2.9,,35.84,,1.642,,55.66,,,,,,14.89,,8.5,
1559350800,16.62,,16.43,,979,,1023,,,11.52,,4.2,,303.8,,2.009,,74.05,,6,,,,14.99,,8.81,
1559354400,15.39,,15.22,,979,,1023,,,12.25,,2.6,,285.7,,1.449,,82.8,,,,,,14.9,,8.75,
1559358000,14.18,,13.58,,979,,1023,,,11.86,,2.4,,7.062,,1.426,,89.6,,,,,,14.87,,8.73,
1559361600,13.27,,12.38,,979,,1023,,,9.81,,2.4,,34.68,,1.86,,84.6,,,,6.0920000000000005,,15.12,,8.77,
1559365200,12.55,,12.14,,979,,1023,,,9.31,,2.6,,47.73,,1.68,,83.1,,,,100.2,,15.1,,8.82,
1559368800,14.17,,14.46,,979,,1023,,,11.44,,1.2,,16.99,,0.524,,82.3,,,,262.9,,15.32,,8.77,
1559372400,14.54,,14.77,,979,,1023,,,12.98,,1.4,,255.4,,0.8009999999999999,,89.3,,,,448.7,,15.42,,8.61,
1559376000,14.77,,14.84,,979,,1023,,,12.49,,1.8,,265.3,,1.234,,86.1,,,,620.4,,15.54,,8.53,
1559379600,15.6,,15.62,,979,,1023,,,12.45,,1.6,,260.2,,1.141,,81.8,,,,764.5,,15.59,,8.65,
1559383200,16.36,,16.24,,979,,1023,,,11.59,,1.7,,252.1,,1.1320000000000001,,74.16,,,,867,,15.72,,8.58,
1559386800,17,,16.97,,978,,1023,,,11.88,,1.9,,299.4,,0.6609999999999999,,72.2,,,,922,,15.94,,8.37,
1559390400,18.12,,18.1,,978,,1022,,,12.17,,2.1,,277.6,,1.131,,68.54,,,,877,,16.23,,8.25,
1559394000,19.04,,18.96,,977,,1021,,,12.94,,1.9,,290.9,,0.591,,68.31,,,,895,,15.81,,8.39,
1559397600,20.16,,20.13,,977,,1021,,,15.1,,1.9,,265.4,,1.0090000000000001,,73.05,,,,853,,15.54,,8.6,
1559401200,20.7,,20.68,,976,,1020,,,15.41,,2.2,,318.7,,0.977,,72.05,,54,,657.2,,15.97,,8.64,
1559404800,22.33,,22.16,,976,,1020,,,10.57,,2.4,,324.1,,1.4080000000000001,,49.24,,,,499.8,,15.8,,8.54,
1559408400,24,,23.64,,975,,1019,,,7.186,,2,,297.6,,0.897,,35.06,,,,299.9,,16.04,,8.45,
1559412000,24.25,,24.13,,975,,1019,,,8.55,,1,,285.4,,0.49200000000000005,,37.27,,,,126.5,,15.94,,8.35,
1559415600,24.2,,24.24,,975,,1019,,,11.02,,1.8,,354.8,,0.753,,43.7,,,,7.99,,15.84,,8.23,
1559419200,21.26,,20.78,,975,,1020,,,12.89,,1.6,,33.49,,0.9740000000000001,,60.94,,,,,,15.7,,8.12,
1559422800,20.38,,19.93,,976,,1020,,,10.66,,2.7,,62.91,,1.444,,55.37,,,,,,15.37,,8.35,
1559426400,19.87,,19.35,,976,,1020,,,9.47,,3.2,,84.9,,1.881,,52.96,,,,,,15.16,,8.33,
1559430000,17.69,,17.23,,976,,1020,,,9.55,,2,,33.63,,1.193,,60.84,,,,,,14.97,,8.52,
1559433600,16.69,,16.02,,976,,1020,,,10.05,,2.2,,27.52,,1.515,,68.05,,,,,,14.64,,8.52,
1559437200,16.1,,15.27,,975,,1020,,,10.54,,2.4,,30.52,,1.7180000000000002,,73.63,,,,,,14.63,,8.52,
1559440800,14.89,,14.54,,975,,1019,,,10.17,,2.6,,42.14,,2.052,,75.28,,,,,,14.97,,8.52,
1559444400,14.49,,14.14,,975,,1019,,,10.22,,2.5,,39.11,,1.5819999999999999,,77.51,,,,,,15.22,,8.77,
1559448000,13.84,,13.47,,975,,1020,,,10.26,,2.2,,41.13,,1.7309999999999999,,81.2,,,,7.202999999999999,,15.48,,8.58,
1559451600,14.15,,13.81,,976,,1020,,,10.26,,2.5,,40.41,,1.666,,79.42,,,,103,,15.3,,8.46,
1559455200,16.31,,16.37,,976,,1020,,,12.2,,1.1,,70.44,,0.591,,76.82,,,,263.8,,15.18,,8.71,
1559458800,16.69,,17.3,,976,,1020,,,13.34,,1.3,,208.1,,0.609,,77.96,,,,448.5,,15.56,,8.44,
1559462400,16.68,,17.45,,976,,1020,,,15.02,,1.4,,154.1,,0.9840000000000001,,86.1,,,,620.8,,15.52,,8.25,
1559466000,17.02,,17.3,,975,,1020,,,15.58,,1.8,,148.4,,1.4340000000000002,,89.9,,,,766.4,,15.79,,8.44,
1559469600,17.74,,17.57,,975,,1020,,,15.39,,1.9,,145,,1.601,,87.4,,6,,874,,15.95,,8.54,
1559473200,18.65,,18.44,,975,,1019,,,15.13,,2.6,,136.8,,2.069,,81.3,,,,946,,16.1,,8.3,
1559476800,19.43,,19.21,,974,,1018,,,15.71,,3.2,,130.9,,2.7769999999999997,,80.5,,,,948,,16.59,,8.65,
1559480400,20.2,,19.82,,973,,1018,,,15.64,,3.8,,128.7,,3.427,,77.19,,,,902,,17.67,,8.51,
1559484000,20.82,,20.63,,973,,1017,,,15.69,,3.8,,130.2,,3.307,,73.57,,,,871,,18.13,,8.68,
1559487600,21.2,,21.05,,972,,1017,,,16.18,,4.2,,128.6,,3.4939999999999998,,74.05,,,,683.6,,17.04,,8.61,
1559491200,23.21,,22.88,,972,,1016,,,13.01,,4.2,,124.1,,3.065,,54.31,,,,511.4,,18.62,,8.7,
1559494800,24.54,,24.18,,971,,1016,,,12.22,,3.8,,119,,2.4859999999999998,,47.38,,,,322.8,,19.13,,8.74,
1559498400,24.84,,24.65,,971,,1016,,,10.97,,3,,117.9,,2.131,,42.39,,,,127.2,,19.13,,8.72,
1559502000,24.36,,24.05,,972,,1016,,,12.31,,1.5,,55.92,,0.925,,48.12,,,,6.191,,18.88,,8.71,
1559505600,21.93,,21.56,,972,,1016,,,13.67,,1.9,,37.23,,1.074,,61.06,,,,,,18.89,,8.66,
1559509200,20.19,,19.9,,973,,1017,,,13.25,,2.3,,34.83,,1.168,,65.77,,,,,,18.92,,8.83,
1559512800,18.95,,18.36,,973,,1017,,,12.94,,2.1,,24.18,,1.053,,70.96,,,,,,19.01,,8.61,
1559516400,18.65,,17.91,,973,,1017,,,12.28,,2.4,,40.25,,1.892,,69.86,,,,,,18.89,,8.56,
1559520000,17.54,,16.94,,973,,1017,,,12.25,,2.4,,52.39,,1.5490000000000002,,74.19,,,,,,18.7,,8.59,
1559523600,17,,16.28,,973,,1017,,,13.15,,2,,58.93,,1.15,,82.1,,,,,,18.7,,8.61,
1559527200,16.63,,15.54,,973,,1017,,,13.21,,2.2,,31.44,,1.64,,86.3,,,,,,18.42,,8.65,
1559530800,16.02,,15.13,,973,,1017,,,12.96,,2,,47.57,,1.193,,87.2,,,,,,18.31,,8.71,
1559534400,15.74,,14.67,,973,,1017,,,13.26,,2.4,,32.34,,1.66,,91.6,,12,,7.721,,18.18,,8.75,
1559538000,15.2,,14.57,,973,,1017,,,12.47,,2.4,,48.42,,1.538,,87.6,,,,106.3,,17.1,,8.78,
1559541600,17.05,,17.19,,973,,1017,,,13.39,,1.4,,35.51,,0.943,,78.72,,,,261.1,,16.6,,8.79,
