x,y,y2,y4,y6,y8,y10,y12,y14,y16,y18,y20,y22,y24,y1,y3,y5,y7,y9,y11,y13,y15,y17,y19,y21,y23,y25
1656626400,16.88,16.76,973,1017,16.24,3.6,176.8,1.421,97.8,0,0,22.13,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656630000,17.09,17.09,974,1018,15.11,5.8,121,2.981,88.7,0,0,21.9,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656633600,16.25,16.17,974,1018,16.64,2.6,359.1,1.327,103.9,0,0,22.08,,0,0,0,0,0,0,0,0,1,0,0,0,1
1656637200,17.04,16.97,974,1019,12.54,4.4,334.8,2.05,76.04,0,0,21.64,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656640800,16.6,16.69,975,1019,11.59,5.4,293.8,2.492,72.24,0,0,21.55,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656644400,15.15,15.18,975,1019,13.85,4.8,320,2.18,92.7,0,0,21.62,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656648000,14.74,14.68,975,1019,15.46,4.8,340.4,1.826,105.8,0,0,22.12,,0,0,0,0,0,0,0,0,1,0,0,0,1
1656651600,14.93,14.9,975,1019,15.04,4.6,327,2.134,101.6,0,8.41,22.01,,0,0,0,0,0,0,0,0,1,0,0,0,1
1656655200,15.3,15.29,975,1019,13.73,4.5,322.7,1.541,90.9,0,53.39,21.62,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656658800,14.88,14.9,975,1019,15.7,2.7,50.27,1.133,106,0,60.3,21.51,,0,0,0,0,0,0,0,0,1,0,0,0,1
1656662400,15.37,15.35,975,1019,14.79,1.9,71.98,1.11,96.9,0,146.2,21.48,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656666000,16.09,16.14,976,1020,12.87,4.6,125.6,2.541,81.3,0,536.4,21.49,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656669600,16.58,16.69,976,1020,12.25,5.1,155.3,3.14,75.32,0,826,21.76,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656673200,16.93,17.13,976,1021,11.41,4.5,161.5,3.315,69.32,0,631.9,22.13,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656676800,17.55,17.8,976,1020,10.2,4.4,171.1,2.924,61.3,0,1123,22.36,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656680400,18.27,18.48,976,1020,10.14,3.9,159.8,2.51,58.49,0,914,22.58,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656684000,18.87,19.16,976,1020,10.64,3.8,179.2,2.029,57.97,0,778.3,22.31,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656687600,19.44,19.91,976,1020,10.76,2.4,177.3,1.583,55.77,0,624,22.1,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656691200,20.1,20.45,976,1020,10.56,2,196.6,1.058,53.21,0,462.5,22.3,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656694800,20.6,21.43,976,1020,10.83,2.1,166,1.151,51.02,0,328.4,22.66,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656698400,21.02,21.34,976,1020,11.6,3.1,148.3,1.975,53.99,0,85.7,22.5,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656702000,20.9,20.89,976,1020,11.12,3,70.69,1.484,53.77,0,8.44,22.77,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656705600,18.87,18.8,977,1021,10.76,2.8,39.19,1.482,59.77,0,0,22.61,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656709200,18.06,17.96,977,1022,10.93,3.8,40.93,1.651,63.68,0,0,22.39,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656712800,17.5,17.4,977,1022,11.79,3.2,51.49,1.308,69.88,0,0,22.34,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656716400,17.26,17.18,977,1022,12.15,4.1,48.71,1.593,72.5,0,0,22.1,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656720000,17.12,17.04,977,1021,12.46,3.8,45.07,1.991,74.69,0,0,21.59,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656723600,16.8,16.75,977,1021,12.79,4.8,58.58,1.673,77.77,0,0,21.63,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656727200,16.41,16.34,977,1021,12.83,2.9,55.37,1.176,80,0,0,21.65,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656730800,15.97,15.86,978,1022,13.2,2.6,64.37,1.091,84.5,0,0,21.65,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656734400,15.58,15.48,978,1022,13.76,3.5,58.52,1.544,89.8,0,4.628,21.6,,0,0,0,0,0,0,0,0,0,0,0,0,1
1656738000,15.93,15.92,978,1022,13.39,5.3,58.51,2.295,85.2,0,108.6,21.56,,0,0,0,0,0,0,0,0,0,0,0,0,1
