system:index;ST;ST_unc;coverage;sensor;system:time_start;time_gmt1
1_1_2_LE07_196028_20020129;3.29429372;5.79;1.003420798;LANDSAT_7;1.01E+12;2002-01-29T09:11:51
1_1_1_2_LT05_195028_20020130;3.67369394;2.33;0.957916217;LANDSAT_5;1.01E+12;2002-01-30T08:55:48
1_1_2_LE07_195028_20020207;6.22353686;2.86;0.957916217;LANDSAT_7;1.01E+12;2002-02-07T09:05:47
1_1_1_2_LT05_196028_20020310;8.06243162;2.34;1.003420798;LANDSAT_5;1.02E+12;2002-03-10T09:01:11
1_1_2_LE07_195028_20020311;7.101968;2.26;0.957916217;LANDSAT_7;1.02E+12;2002-03-11T09:05:49
1_1_2_LE07_195028_20020327;7.23185276;4.88;0.957916217;LANDSAT_7;1.02E+12;2002-03-27T09:05:43
1_1_2_LE07_195028_20020514;12.46142336;1.91;0.957916217;LANDSAT_7;1.02E+12;2002-05-14T09:05:37
1_1_2_LE07_196028_20020521;18.381434;2.01;1.003420798;LANDSAT_7;1.02E+12;2002-05-21T09:11:47
1_1_2_LE07_195028_20020530;16.65875192;2.18;0.957916217;LANDSAT_7;1.02E+12;2002-05-30T09:05:31
1_1_1_2_LT05_196028_20020614;21.53626646;2.53;1.003420798;LANDSAT_5;1.02E+12;2002-06-14T08:59:19
1_1_2_LE07_195028_20020615;21.74134766;2.14;0.957916217;LANDSAT_7;1.02E+12;2002-06-15T09:05:25
1_1_2_LE07_196028_20020622;25.80537344;2.79;1.003420798;LANDSAT_7;1.02E+12;2002-06-22T09:11:33
1_1_2_LE07_195028_20020701;22.33950116;1.77;0.957916217;LANDSAT_7;1.03E+12;2002-07-01T09:05:20
1_1_2_LE07_196028_20020708;22.35317324;2;1.003420798;LANDSAT_7;1.03E+12;2002-07-08T09:11:30
1_1_2_LE07_195028_20020818;19.92296102;3.49;0.957916217;LANDSAT_7;1.03E+12;2002-08-18T09:05:03
1_1_2_LE07_195028_20021005;15.38724848;2.15;0.957916217;LANDSAT_7;1.03E+12;2002-10-05T09:04:37
1_1_2_LE07_196028_20021028;11.67527876;2.17;1.003420798;LANDSAT_7;1.04E+12;2002-10-28T09:10:52
1_1_2_LE07_196028_20030201;5.28016334;2.69;1.003420798;LANDSAT_7;1.04E+12;2003-02-01T09:11:38
1_1_2_LE07_196028_20030217;4.23424922;2.63;1.003420798;LANDSAT_7;1.05E+12;2003-02-17T09:11:45
1_1_2_LE07_195028_20030226;2.69955824;2.24;0.957916217;LANDSAT_7;1.05E+12;2003-02-26T09:05:33
1_1_2_LE07_196028_20030305;3.14731886;2.22;1.003420798;LANDSAT_7;1.05E+12;2003-03-05T09:11:48
1_1_2_LE07_195028_20030314;6.08339804;2.19;0.957916217;LANDSAT_7;1.05E+12;2003-03-14T09:05:38
1_1_2_LE07_195028_20030330;8.56146254;2.23;0.957916217;LANDSAT_7;1.05E+12;2003-03-30T09:05:36
1_1_2_LE07_196028_20030406;8.25384074;2.2;1.003420798;LANDSAT_7;1.05E+12;2003-04-06T09:11:50
1_1_2_LE07_195028_20030415;4.44274844;5.08;0.957916217;LANDSAT_7;1.05E+12;2003-04-15T09:05:39
1_1_2_LE07_196028_20030422;12.40331702;2.16;1.003420798;LANDSAT_7;1.05E+12;2003-04-22T09:11:48
1_1_2_LE07_195028_20030501;10.93356842;2.93;0.957916217;LANDSAT_7;1.05E+12;2003-05-01T09:05:40
1_1_1_2_LT05_195028_20030626;24.97137656;3.02;0.957916217;LANDSAT_5;1.06E+12;2003-06-26T08:52:58
1_1_1_2_LT05_196028_20030719;24.59539436;2.27;1.003420798;LANDSAT_5;1.06E+12;2003-07-19T08:59:33
1_1_1_2_LT05_196028_20030804;25.68232472;2.63;1.003420798;LANDSAT_5;1.06E+12;2003-08-04T08:59:52
1_1_2_LE07_196028_20030812;25.90791404;2.11;1.003420798;LANDSAT_7;1.06E+12;2003-08-12T09:11:29
