system:index,ST,ST_unc,coverage,sensor,time_utc,time_utc+1,time_unix
1_1_2_LE07_196028_20020129,3.29429372,5.79,1.003420798,LANDSAT_7,2002-01-29 10:11:51,2002-01-29 11:11:51,1012299111
1_1_1_2_LT05_195028_20020130,3.67369394,2.33,0.957916217,LANDSAT_5,2002-01-30 09:55:48,2002-01-30 10:55:48,1012384548
1_1_2_LE07_195028_20020207,6.22353686,2.86,0.957916217,LANDSAT_7,2002-02-07 10:05:47,2002-02-07 11:05:47,1013076347
1_1_1_2_LT05_196028_20020310,8.06243162,2.34,1.003420798,LANDSAT_5,2002-03-10 10:01:11,2002-03-10 11:01:11,1015754471
1_1_2_LE07_195028_20020311,7.101968,2.26,0.957916217,LANDSAT_7,2002-03-11 10:05:49,2002-03-11 11:05:49,1015841149
1_1_2_LE07_195028_20020327,7.23185276,4.88,0.957916217,LANDSAT_7,2002-03-27 10:05:43,2002-03-27 11:05:43,1017223543
1_1_2_LE07_195028_20020514,12.46142336,1.91,0.957916217,LANDSAT_7,2002-05-14 10:05:37,2002-05-14 11:05:37,1021370737
1_1_2_LE07_196028_20020521,18.381434,2.01,1.003420798,LANDSAT_7,2002-05-21 10:11:47,2002-05-21 11:11:47,1021975907
1_1_2_LE07_195028_20020530,16.65875192,2.18,0.957916217,LANDSAT_7,2002-05-30 10:05:31,2002-05-30 11:05:31,1022753131
1_1_1_2_LT05_196028_20020614,21.53626646,2.53,1.003420798,LANDSAT_5,2002-06-14 09:59:19,2002-06-14 10:59:19,1024048759
1_1_2_LE07_195028_20020615,21.74134766,2.14,0.957916217,LANDSAT_7,2002-06-15 10:05:25,2002-06-15 11:05:25,1024135525
1_1_2_LE07_196028_20020622,25.80537344,2.79,1.003420798,LANDSAT_7,2002-06-22 10:11:33,2002-06-22 11:11:33,1024740693
1_1_2_LE07_195028_20020701,22.33950116,1.77,0.957916217,LANDSAT_7,2002-07-01 10:05:20,2002-07-01 11:05:20,1025517920
1_1_2_LE07_196028_20020708,22.35317324,2.0,1.003420798,LANDSAT_7,2002-07-08 10:11:30,2002-07-08 11:11:30,1026123090
1_1_2_LE07_195028_20020818,19.92296102,3.49,0.957916217,LANDSAT_7,2002-08-18 10:05:03,2002-08-18 11:05:03,1029665103
1_1_2_LE07_195028_20021005,15.38724848,2.15,0.957916217,LANDSAT_7,2002-10-05 10:04:37,2002-10-05 11:04:37,1033812277
1_1_2_LE07_196028_20021028,11.67527876,2.17,1.003420798,LANDSAT_7,2002-10-28 10:10:52,2002-10-28 11:10:52,1035799852
1_1_2_LE07_196028_20030201,5.28016334,2.69,1.003420798,LANDSAT_7,2003-02-01 10:11:38,2003-02-01 11:11:38,1044094298
1_1_2_LE07_196028_20030217,4.23424922,2.63,1.003420798,LANDSAT_7,2003-02-17 10:11:45,2003-02-17 11:11:45,1045476705
1_1_2_LE07_195028_20030226,2.69955824,2.24,0.957916217,LANDSAT_7,2003-02-26 10:05:33,2003-02-26 11:05:33,1046253933
1_1_2_LE07_196028_20030305,3.14731886,2.22,1.003420798,LANDSAT_7,2003-03-05 10:11:48,2003-03-05 11:11:48,1046859108
1_1_2_LE07_195028_20030314,6.08339804,2.19,0.957916217,LANDSAT_7,2003-03-14 10:05:38,2003-03-14 11:05:38,1047636338
1_1_2_LE07_195028_20030330,8.56146254,2.23,0.957916217,LANDSAT_7,2003-03-30 10:05:36,2003-03-30 11:05:36,1049018736
1_1_2_LE07_196028_20030406,8.25384074,2.2,1.003420798,LANDSAT_7,2003-04-06 10:11:50,2003-04-06 11:11:50,1049623910
1_1_2_LE07_195028_20030415,4.44274844,5.08,0.957916217,LANDSAT_7,2003-04-15 10:05:39,2003-04-15 11:05:39,1050401139
1_1_2_LE07_196028_20030422,12.40331702,2.16,1.003420798,LANDSAT_7,2003-04-22 10:11:48,2003-04-22 11:11:48,1051006308
1_1_2_LE07_195028_20030501,10.93356842,2.93,0.957916217,LANDSAT_7,2003-05-01 10:05:40,2003-05-01 11:05:40,1051783540
1_1_1_2_LT05_195028_20030626,24.97137656,3.02,0.957916217,LANDSAT_5,2003-06-26 09:52:58,2003-06-26 10:52:58,1056621178
1_1_1_2_LT05_196028_20030719,24.59539436,2.27,1.003420798,LANDSAT_5,2003-07-19 09:59:33,2003-07-19 10:59:33,1058608773
1_1_1_2_LT05_196028_20030804,25.68232472,2.63,1.003420798,LANDSAT_5,2003-08-04 09:59:52,2003-08-04 10:59:52,1059991192
1_1_2_LE07_196028_20030812,25.90791404,2.11,1.003420798,LANDSAT_7,2003-08-12 10:11:29,2003-08-12 11:11:29,1060683089
1_1_1_2_LT05_195028_20030813,25.4909156,2.35,0.957916217,LANDSAT_5,2003-08-13 09:53:49,2003-08-13 10:53:49,1060768429
1_1_1_2_LT05_195028_20030914,17.70466604,2.54,0.957916217,LANDSAT_5,2003-09-14 09:54:24,2003-09-14 10:54:24,1063533264
1_1_1_2_LT05_196028_20030921,19.69053566,3.71,1.003420798,LANDSAT_5,2003-09-21 10:00:41,2003-09-21 11:00:41,1064138441
1_1_1_2_LT05_195028_20030930,14.41311278,2.32,0.957916217,LANDSAT_5,2003-09-30 09:54:35,2003-09-30 10:54:35,1064915675
1_1_2_LE07_195028_20031211,7.2386888,2.18,0.957916217,LANDSAT_7,2003-12-11 10:05:39,2003-12-11 11:05:39,1071137139
1_1_2_LE07_196028_20031218,7.18058246,4.84,1.003420798,LANDSAT_7,2003-12-18 10:11:53,2003-12-18 11:11:53,1071742313
1_1_2_LE07_196028_20040204,4.22057714,2.83,1.003420798,LANDSAT_7,2004-02-04 10:12:10,2004-02-04 11:12:10,1075889530
1_1_2_LE07_195028_20040316,7.04727968,2.08,0.957916217,LANDSAT_7,2004-03-16 10:06:10,2004-03-16 11:06:10,1079431570
1_1_1_2_LT05_195028_20040511,11.18991992,3.89,0.957916217,LANDSAT_5,2004-05-11 09:57:21,2004-05-11 10:57:21,1084269441
1_1_1_2_LT05_196028_20040518,14.3310803,2.54,1.003420798,LANDSAT_5,2004-05-18 10:03:43,2004-05-18 11:03:43,1084874623
1_1_2_LE07_195028_20040519,15.08988074,2.14,0.957916217,LANDSAT_7,2004-05-19 10:06:05,2004-05-19 11:06:05,1084961165
1_1_2_LE07_196028_20040526,13.6987466,3.41,1.003420798,LANDSAT_7,2004-05-26 10:12:14,2004-05-26 11:12:14,1085566334
1_1_1_2_LT05_195028_20040714,18.1079924,2.32,0.957916217,LANDSAT_5,2004-07-14 09:59:11,2004-07-14 10:59:11,1089799151
1_1_2_LE07_195028_20040722,23.26236656,2.22,0.957916217,LANDSAT_7,2004-07-22 10:05:50,2004-07-22 11:05:50,1090490750
1_1_2_LE07_196028_20040729,20.79455612,2.24,0.844904936,LANDSAT_7,2004-07-29 10:11:56,2004-07-29 11:11:56,1091095916
1_1_1_2_LT05_195028_20040730,22.40786156,2.7,0.957916217,LANDSAT_5,2004-07-30 09:59:33,2004-07-30 10:59:33,1091181573
1_1_1_2_LT05_196028_20040907,22.59243464,2.68,1.003420798,LANDSAT_5,2004-09-07 10:06:43,2004-09-07 11:06:43,1094551603
1_1_1_2_LT05_195028_20040916,19.60850318,2.62,0.957916217,LANDSAT_5,2004-09-16 10:00:46,2004-09-16 11:00:46,1095328846
1_1_2_LE07_195028_20050130,4.2991916,3.05,0.957916217,LANDSAT_7,2005-01-30 10:06:21,2005-01-30 11:06:21,1107079581
1_1_2_LE07_196028_20050206,2.55258338,6.14,1.003420798,LANDSAT_7,2005-02-06 10:12:36,2005-02-06 11:12:36,1107684756
1_1_1_2_LT05_195028_20050207,4.76404232,2.39,0.957916217,LANDSAT_5,2005-02-07 10:03:18,2005-02-07 11:03:18,1107770598
1_1_1_2_LT05_196028_20050302,5.07166412,2.42,1.003420798,LANDSAT_5,2005-03-02 10:09:52,2005-03-02 11:09:52,1109758192
1_1_2_LE07_195028_20050303,4.70251796,3.82,0.957916217,LANDSAT_7,2005-03-03 10:06:35,2005-03-03 11:06:35,1109844395
1_1_1_2_LT05_195028_20050311,6.27480716,2.39,0.957916217,LANDSAT_5,2005-03-11 10:03:49,2005-03-11 11:03:49,1110535429
1_1_1_2_LT05_196028_20050318,7.785572,2.41,1.003420798,LANDSAT_5,2005-03-18 10:10:04,2005-03-18 11:10:04,1111140604
1_1_2_LE07_195028_20050404,10.99509278,2.88,0.957916217,LANDSAT_7,2005-04-04 10:06:32,2005-04-04 11:06:32,1112609192
1_1_2_LE07_196028_20050529,23.48453786,2.38,1.003420798,LANDSAT_7,2005-05-29 10:12:39,2005-05-29 11:12:39,1117361559
1_1_1_2_LT05_195028_20050615,16.18706516,2.43,0.957916217,LANDSAT_5,2005-06-15 10:04:26,2005-06-15 11:04:26,1118829866
1_1_1_2_LT05_196028_20050622,23.43326756,4.03,1.003420798,LANDSAT_5,2005-06-22 10:10:39,2005-06-22 11:10:39,1119435039
1_1_2_LE07_195028_20050623,22.42495166,2.58,0.907094276,LANDSAT_7,2005-06-23 10:06:19,2005-06-23 11:06:19,1119521179
1_1_2_LE07_196028_20050630,23.61784064,2.72,1.003420798,LANDSAT_7,2005-06-30 10:12:29,2005-06-30 11:12:29,1120126349
1_1_2_LE07_196028_20050716,20.95862108,2.29,1.003420798,LANDSAT_7,2005-07-16 10:12:30,2005-07-16 11:12:30,1121508750
1_1_2_LE07_196028_20050801,23.03677724,2.23,1.003420798,LANDSAT_7,2005-08-01 10:12:28,2005-08-01 11:12:28,1122891148
1_1_1_2_LT05_196028_20050809,21.92250272,2.21,1.003420798,LANDSAT_5,2005-08-09 10:11:05,2005-08-09 11:11:05,1123582265
1_1_2_LE07_196028_20050902,21.47132408,2.79,1.003420798,LANDSAT_7,2005-09-02 10:12:16,2005-09-02 11:12:16,1125655936
1_1_1_2_LT05_196028_20050926,17.90974724,2.86,1.003420798,LANDSAT_5,2005-09-26 10:11:10,2005-09-26 11:11:10,1127729470
1_1_2_LE07_196028_20051121,10.2978167,2.98,1.003420798,LANDSAT_7,2005-11-21 10:12:37,2005-11-21 11:12:37,1132567957
1_1_1_2_LT05_195028_20051122,9.94917866,2.87,0.957916217,LANDSAT_5,2005-11-22 10:05:29,2005-11-22 11:05:29,1132653929
1_1_1_2_LT05_195028_20060210,4.34704388,2.75,0.957916217,LANDSAT_5,2006-02-10 10:07:19,2006-02-10 11:07:19,1139566039
