system:index;ST;ST_unc;coverage;sensor;system:time_start;time_gmt1
1_2_LC08_196027_20220112;4.37438804;2.51;1.00207696;LANDSAT_8;1.64E+12;2022-01-12T09:22:55
1_2_LC08_196028_20220112;4.42907636;2.41;1.001916287;LANDSAT_8;1.64E+12;2022-01-12T09:23:19
2_LC09_195028_20220113;6.69864164;2.17;1.00207696;LANDSAT_9;1.64E+12;2022-01-13T09:17:08
1_2_LC08_195028_20220121;6.94132106;2.14;1.00207696;LANDSAT_8;1.64E+12;2022-01-21T09:17:05
1_2_LC08_196027_20220128;6.32265944;2.14;1.00207696;LANDSAT_8;1.64E+12;2022-01-28T09:22:49
1_2_LC08_196028_20220128;6.32265944;2.17;1.001916287;LANDSAT_8;1.64E+12;2022-01-28T09:23:13
2_LC09_195028_20220129;6.73282184;2.09;1.00207696;LANDSAT_9;1.64E+12;2022-01-29T09:17:10
1_1_2_LE07_196028_20220205;6.68496956;2.55;0.980085863;LANDSAT_7;1.64E+12;2022-02-05T08:07:01
2_LC09_196027_20220205;7.03702562;2.09;1.00207696;LANDSAT_9;1.64E+12;2022-02-05T09:22:57
2_LC09_196028_20220205;7.0336076;2.09;1.001916287;LANDSAT_9;1.64E+12;2022-02-05T09:23:20
1_2_LC08_196027_20220213;6.076562;2.13;1.00207696;LANDSAT_8;1.64E+12;2022-02-13T09:22:46
1_2_LC08_196028_20220213;6.07314398;2.12;1.001916287;LANDSAT_8;1.64E+12;2022-02-13T09:23:10
1_2_LC08_195028_20220222;4.51110884;3.03;1.00207696;LANDSAT_8;1.65E+12;2022-02-22T09:16:56
1_2_LC08_196027_20220301;0.3513785;5.89;0.96072668;LANDSAT_8;1.65E+12;2022-03-01T09:22:42
1_1_2_LE07_196028_20220309;6.56192084;2.87;1.001916287;LANDSAT_7;1.65E+12;2022-03-09T08:03:51
2_LC09_196027_20220309;7.04044364;2.44;1.00207696;LANDSAT_9;1.65E+12;2022-03-09T09:22:43
2_LC09_196028_20220309;7.04044364;2.09;1.001916287;LANDSAT_9;1.65E+12;2022-03-09T09:23:07
1_2_LC08_195028_20220310;7.35490148;1.96;1.00207696;LANDSAT_8;1.65E+12;2022-03-10T09:16:53
1_1_2_LE07_196028_20220325;8.77337978;2.17;1.001916287;LANDSAT_7;1.65E+12;2022-03-25T08:02:17
2_LC09_196027_20220325;10.2978167;3.74;1.00207696;LANDSAT_9;1.65E+12;2022-03-25T09:22:38
2_LC09_196028_20220325;10.3149068;3.68;1.001916287;LANDSAT_9;1.65E+12;2022-03-25T09:23:02
1_2_LC08_195028_20220326;10.20894818;1.86;1.00207696;LANDSAT_8;1.65E+12;2022-03-26T09:16:41
1_1_2_LE07_195028_20220403;6.83878046;3.52;1.00207696;LANDSAT_7;1.65E+12;2022-04-03T07:55:14
2_LC09_196027_20220410;7.48478624;2.08;1.00207696;LANDSAT_9;1.65E+12;2022-04-10T09:22:35
2_LC09_196028_20220410;7.48478624;2.08;1.001916287;LANDSAT_9;1.65E+12;2022-04-10T09:22:59
1_2_LC08_196027_20220418;10.47213572;3.7;1.00207696;LANDSAT_8;1.65E+12;2022-04-18T09:22:31
1_2_LC08_196028_20220418;10.46529968;3.69;1.001916287;LANDSAT_8;1.65E+12;2022-04-18T09:22:54
1_2_LC08_195028_20220427;12.30077642;2.12;1.00207696;LANDSAT_8;1.65E+12;2022-04-27T09:16:40
