x,skin_temp,bulk_temp,air_temp,precipitation,windspeed,solar_W,rel_humidity,air_pressure,datetime
1480582800.0,5.76,9.29,0.141,0.0,1.253,80.7,79.8,0.0,2016-12-01 10:00:00
1480586400.0,8.02,9.73,0.818,0.0,2.517,175.6,80.1,0.0,2016-12-01 11:00:00
1480590000.0,8.19,9.72,2.677,0.0,1.907,279.2,76.44,0.0,2016-12-01 12:00:00
1480593600.0,8.5,9.74,3.976,0.0,2.119,341.4,74.3,0.0,2016-12-01 13:00:00
1480597200.0,8.64,9.79,4.575,0.0,2.196,132.3,72.98,0.0,2016-12-01 14:00:00
1480600800.0,4.813,9.64,5.521,0.0,1.03,170.4,75.61,0.0,2016-12-01 15:00:00
1480604400.0,8.12,9.77,5.564,0.0,1.431,59.74,74.65,0.0,2016-12-01 16:00:00
1480608000.0,8.56,9.81,5.2,0.0,0.948,0.0,77.19,0.0,2016-12-01 17:00:00
1480611600.0,7.1770000000000005,9.66,2.6860000000000004,0.0,1.25,0.0,85.6,0.0,2016-12-01 18:00:00
1480615200.0,7.855,9.55,1.42,0.0,1.359,0.0,85.6,0.0,2016-12-01 19:00:00
1480618800.0,7.871,9.75,1.193,0.0,1.024,0.0,84.5,0.0,2016-12-01 20:00:00
1480622400.0,7.803,9.68,0.633,0.0,1.403,0.0,83.6,0.0,2016-12-01 21:00:00
1480626000.0,7.768,9.66,0.853,0.0,1.537,0.0,80.7,0.0,2016-12-01 22:00:00
1480629600.0,7.888,9.65,0.515,0.0,1.905,0.0,79.92,0.0,2016-12-01 23:00:00
1480633200.0,7.791,9.65,0.025,0.0,2.068,0.0,83.6,0.0,2016-12-02 00:00:00
1480636800.0,7.73,9.6,-0.155,0.0,2.049,0.0,80.9,0.0,2016-12-02 01:00:00
1480644000.0,7.78,9.61,-0.295,0.0,2.088,0.0,80.9,0.0,2016-12-02 03:00:00
1480647600.0,7.789,9.64,-0.367,0.0,1.951,0.0,84.7,0.0,2016-12-02 04:00:00
1480651200.0,7.819,9.63,-0.424,0.0,1.812,0.0,88.0,0.0,2016-12-02 05:00:00
1480654800.0,7.629,9.61,-0.8959999999999999,0.0,1.841,0.0,88.3,0.0,2016-12-02 06:00:00
1480658400.0,7.811,9.61,-1.041,0.0,2.036,0.0,85.4,0.0,2016-12-02 07:00:00
1480662000.0,7.736000000000001,9.64,-1.17,0.0,1.774,0.0,87.7,0.0,2016-12-02 08:00:00
1480665600.0,8.06,9.62,0.147,0.0,2.042,1.846,92.0,0.0,2016-12-02 09:00:00
1480669200.0,7.991,9.56,0.1939999999999999,0.0,3.469,32.64,92.4,0.0,2016-12-02 10:00:00
1480672800.0,7.834,9.48,1.525,0.0,2.744,233.0,83.9,0.0,2016-12-02 11:00:00
1480676400.0,8.24,9.55,2.661,0.0,4.422,322.0,74.76,0.0,2016-12-02 12:00:00
1480680000.0,8.34,9.58,3.794,0.0,4.5760000000000005,364.3,65.19,0.0,2016-12-02 13:00:00
1480683600.0,8.6,9.58,5.235,0.0,3.938,346.4,56.79,0.0,2016-12-02 14:00:00
1480687200.0,8.73,9.6,5.881,0.0,4.768,43.67,56.71,0.0,2016-12-02 15:00:00
1480690800.0,8.8,9.58,6.056,0.0,4.722,186.3,58.05,0.0,2016-12-02 16:00:00
1480694400.0,8.67,9.56,6.03,0.0,4.38,63.64,60.0,0.0,2016-12-02 17:00:00
1480698000.0,8.53,9.53,5.336,0.0,3.99,0.0,65.24,0.0,2016-12-02 18:00:00
1480701600.0,8.35,9.53,4.766,0.0,2.787,0.0,69.97,0.0,2016-12-02 19:00:00
1480705200.0,8.28,9.46,4.654,0.0,3.765,0.0,68.97,0.0,2016-12-02 20:00:00
1480708800.0,8.25,9.38,4.605,0.0,4.726,0.0,69.02,0.0,2016-12-02 21:00:00
1480712400.0,8.17,9.29,4.457,0.0,5.007,0.0,71.0,0.0,2016-12-02 22:00:00
1480716000.0,8.12,9.33,4.25,0.0,4.689,0.0,71.87,0.0,2016-12-02 23:00:00
1480719600.0,8.17,9.45,4.166,0.0,4.796,0.0,73.57,0.0,2016-12-03 00:00:00
1480723200.0,8.22,9.4,4.082,0.0,4.245,0.0,73.86,0.0,2016-12-03 01:00:00
1480726800.0,8.06,9.34,3.803,0.0,3.125,0.0,75.15,0.0,2016-12-03 02:00:00
1480730400.0,8.18,9.47,3.564,0.0,2.874,0.0,75.85,0.0,2016-12-03 03:00:00
1480734000.0,8.26,9.5,2.9530000000000003,0.0,2.76,0.0,79.15,0.0,2016-12-03 04:00:00
1480737600.0,8.51,9.48,3.213,0.0,3.065,0.0,78.48,0.0,2016-12-03 05:00:00
1480741200.0,8.48,9.48,3.402,0.0,3.5010000000000003,0.0,76.15,0.0,2016-12-03 06:00:00
