x,datetime,y
1646708700,2022-03-08 04:05:00,5.3
1646709000,2022-03-08 04:10:00,5.59
1646709300,2022-03-08 04:15:00,5.49
1646709600,2022-03-08 04:20:00,5.54
1646709900,2022-03-08 04:25:00,5.51
1646710200,2022-03-08 04:30:00,5.57
1646710500,2022-03-08 04:35:00,5.63
1646710800,2022-03-08 04:40:00,5.46
1646711100,2022-03-08 04:45:00,5.52
1646711400,2022-03-08 04:50:00,5.58
1646711700,2022-03-08 04:55:00,5.63
1646712000,2022-03-08 05:00:00,5.75
1646712300,2022-03-08 05:05:00,5.5
1646712600,2022-03-08 05:10:00,5.56
1646712900,2022-03-08 05:15:00,5.73
1646713200,2022-03-08 05:20:00,5.59
1646713500,2022-03-08 05:25:00,5.52
1646713800,2022-03-08 05:30:00,5.3
1646714100,2022-03-08 05:35:00,5.51
1646714400,2022-03-08 05:40:00,5.4
1646714700,2022-03-08 05:45:00,5.37
1646715000,2022-03-08 05:50:00,5.45
1646715300,2022-03-08 05:55:00,5.37
1646715600,2022-03-08 06:00:00,5.27
1646715900,2022-03-08 06:05:00,5.24
1646716200,2022-03-08 06:10:00,5.54
1646716500,2022-03-08 06:15:00,5.46
1646716800,2022-03-08 06:20:00,5.5
1646717100,2022-03-08 06:25:00,5.26
1646717400,2022-03-08 06:30:00,5.27
1646717700,2022-03-08 06:35:00,5.19
1646718000,2022-03-08 06:40:00,5.1
1646718300,2022-03-08 06:45:00,5.47
1646718600,2022-03-08 06:50:00,5.15
1646718900,2022-03-08 06:55:00,5.03
1646719200,2022-03-08 07:00:00,4.91
1646719500,2022-03-08 07:05:00,4.84
1646719800,2022-03-08 07:10:00,5.02
1646720100,2022-03-08 07:15:00,4.9
1646720400,2022-03-08 07:20:00,5.15
1646720700,2022-03-08 07:25:00,5.13
1646721000,2022-03-08 07:30:00,5.29
1646721300,2022-03-08 07:35:00,5.0
1646721600,2022-03-08 07:40:00,5.67
1646721900,2022-03-08 07:45:00,5.5
1646722200,2022-03-08 07:50:00,5.92
1646722500,2022-03-08 07:55:00,5.9
1646722800,2022-03-08 08:00:00,5.82
1646723100,2022-03-08 08:05:00,5.83
1646723400,2022-03-08 08:10:00,5.48
1646723700,2022-03-08 08:15:00,4.84
1646724000,2022-03-08 08:20:00,5.15
1646724300,2022-03-08 08:25:00,5.48
1646724600,2022-03-08 08:30:00,5.46
1646724900,2022-03-08 08:35:00,5.81
1646725200,2022-03-08 08:40:00,5.94
1646725500,2022-03-08 08:45:00,5.49
1646725800,2022-03-08 08:50:00,5.69
1646726100,2022-03-08 08:55:00,5.82
1646726400,2022-03-08 09:00:00,5.59
1646726700,2022-03-08 09:05:00,5.52
1646727000,2022-03-08 09:10:00,5.79
1646727300,2022-03-08 09:15:00,5.39
1646727600,2022-03-08 09:20:00,5.63
1646727900,2022-03-08 09:25:00,5.78
1646728200,2022-03-08 09:30:00,5.92
1646728500,2022-03-08 09:35:00,5.95
1646728800,2022-03-08 09:40:00,5.8
1646729100,2022-03-08 09:45:00,6.08
1646729400,2022-03-08 09:50:00,6.1
1646729700,2022-03-08 09:55:00,5.98
