x,y,y1,y2,y3,y4
1668164428.166,13.3,,0,0,1
1668165012.659,12.85,13.056,0,0,0
1668165612.554,13.66,13.05,0,0,0
1668166212.576,13.4,13.1005,0,0,0
1668166812.537,13.43,13.0826,0,0,0
1668167412.614,13.25,13.0582,0,0,0
1668168012.604,13.49,13.0864,0,0,0
1668168612.614,13.49,13.1404,0,0,0
1668169212.715,13.6,13.1138,0,0,0
1668169812.599,13.22,13.1226,0,0,0
1668170412.605,12.69,13.0889,0,0,0
1668171012.655,13.36,13.1674,0,0,0
1668171612.607,13.48,13.1765,0,0,0
1668172212.627,13,13.1674,0,0,0
1668172812.654,13.38,13.155999999999999,0,0,0
1668173412.622,12.6,13.1552,0,0,0
1668174012.61,13.05,13.1284,0,0,0
1668174612.628,12.73,13.0819,0,0,0
1668175228.117,13.21,,0,0,1
1668175812.649,12.63,13.0396,0,0,0
1668176412.71,12.73,13.0638,0,0,0
1668177012.679,12.23,13.0597,0,0,0
1668177612.71,11.93,13.0464,0,0,0
1668178212.67,12.43,13.0386,0,0,0
1668180630.769,11.56,,0,0,1
1668181212.824,11.8,13.0036,0,0,0
1668181812.704,11.62,12.9763,0,0,0
1668182428.866,12.02,,0,0,1
1668183012.643,12.13,12.9378,0,0,0
1668183612.663,,12.9697,0,1,0
1668184212.62,,12.9662,0,1,0
1668184812.634,,12.9347,0,1,0
1668185412.667,,12.9079,0,1,0
1668186012.64,,12.9254,0,1,0
1668186612.626,,12.9355,0,1,0
1668187212.692,,12.9535,0,1,0
1668187812.61,,12.9123,0,1,0
1668188412.546,,12.9333,0,1,0
1668189012.693,,12.935,0,1,0
1668192614.911,12.45,12.8854,1,0,0
1668195014.891,12.3,12.9235,0,0,0
1668195612.621,12.39,12.8761,0,0,0
1668196212.66,12.25,12.9002,0,0,0
1668196812.723,11.7,12.9075,0,0,0
1668197412.636,12.06,12.8409,0,0,0
1668198012.597,12.12,12.812999999999999,0,0,0
1668198612.61,12.5,12.8883,0,0,0
1668199212.655,11.97,12.8584,0,0,0
1668199812.547,11.99,12.8629,0,0,0
1668200412.617,11.99,12.8678,0,0,0
1668201012.558,12.3,12.8679,0,0,0
1668201628.144,12.48,,0,0,1
1668202212.576,11.64,12.8799,0,0,0
1668202812.624,11.86,12.8573,0,0,0
1668203412.698,12.14,12.8334,0,0,0
1668204012.703,12.1,12.8512,0,0,0
1668204612.726,12.37,12.8416,0,0,0
1668205212.622,11.76,12.8309,0,0,0
1668205812.677,11.92,12.8601,0,0,0
1668206427.934,11.77,,0,0,1
1668207012.637,12.05,12.8635,0,0,0
1668207612.597,11.59,12.8274,0,0,0
1668208212.629,12.33,12.8283,0,0,0
1668208812.57,11.81,12.8291,0,0,0
1668209412.626,11.86,12.8528,0,0,0
1668210012.596,12.3,12.8333,0,0,0
1668210612.634,12.04,12.8391,0,0,0
1668211212.707,12.58,12.8336,0,0,0
1668211812.655,12.21,12.7372,0,0,0
1668212412.66,12.3,12.8277,0,0,0
1668213012.631,11.68,12.8086,0,0,0
1668213612.633,12.1,12.8321,0,0,0
1668214212.577,12.18,12.8331,0,0,0
1668214812.57,12.84,12.7804,0,0,0
1668215412.642,11.85,12.8251,0,0,0
1668216012.541,12.94,12.8064,0,0,0
1668216612.672,12.32,12.8394,0,0,0
1668217212.617,11.94,12.8301,0,0,0
1668217812.712,12.4,12.7782,0,0,0
1668218412.745,11.88,12.8182,0,0,0
1668219012.654,11.86,12.7981,0,0,0
1668219612.681,11.8,12.8042,0,0,0
1668220212.611,12.29,12.8043,0,0,0
1668220812.58,12.3,12.805,0,0,0
1668221412.57,12.51,12.8013,0,0,0
1668222012.613,11.95,12.811,0,0,0
1668222612.593,11.63,12.7489,0,0,0
1668223212.593,12.56,12.8111,0,0,0
1668223812.686,12.07,12.7483,0,0,0
1668224412.616,11.92,12.8006,0,0,0
1668225012.664,11.75,12.7808,0,0,0
1668225612.729,12.16,12.7613,0,0,0
1668226212.67,11.65,12.7759,0,0,0
1668226812.641,11.23,12.7892,0,0,0
1668227412.613,11.73,12.769,0,0,0
1668228012.624,11.2,12.7799,0,0,0
1668228612.632,11.18,12.6791,0,0,0
1668229212.613,12.46,12.75,0,0,0
1668229812.609,11.58,12.7474,0,0,0
1668230412.587,11.92,12.7727,0,0,0
1668231012.613,12.01,12.693,0,0,0
1668231612.66,11.59,12.704,0,0,0
1668232212.674,12.5,12.7707,0,0,0
1668232812.713,11.73,12.7462,0,0,0
1668233412.729,11.74,12.7678,0,0,0
1668234012.603,12.18,12.7546,0,0,0
1668234612.53,11.83,12.7561,0,0,0
1668235212.661,12.25,12.7456,0,0,0
1668235812.623,12.05,12.6548,0,0,0
1668236412.621,12.3,12.7169,0,0,0
1668237012.648,11.36,12.7343,0,0,0
1668237612.624,12.34,12.6901,0,0,0
1668238212.614,12.59,12.7223,0,0,0
1668238812.594,11.82,12.7593,0,0,0
1668239412.8,11.86,12.7518,0,0,0
1668240012.727,12.42,12.7393,0,0,0
1668240612.703,11.74,12.6922,0,0,0
1668241212.701,12.17,12.7174,0,0,0
1668241812.647,12.5,12.7193,0,0,0
1668242412.618,12.1,12.7563,0,0,0
1668243012.629,12.61,12.7549,0,0,0
1668243612.636,12.69,12.7558,0,0,0
1668244212.579,12.12,12.7566,0,0,0
1668244812.664,12.39,12.7852,0,0,0
1668245412.596,12.61,12.794,0,0,0
1668246012.622,11.84,12.7769,0,0,0
1668246612.694,12.16,12.815,0,0,0
1668247212.754,12.12,12.8406,0,0,0
1668247812.722,12.23,12.8334,0,0,0
1668248412.651,12.72,12.8574,0,0,0
1668249012.585,12.19,12.8955,0,0,0
1668249612.614,12.72,12.9135,0,0,0
1668250212.591,12.78,12.9428,0,0,0
1668250812.623,12.21,12.9562,0,0,0
1668251412.657,12.77,12.9409,0,0,0
1668252012.597,12.72,12.9393,0,0,0
1668252612.627,13.12,12.9772,0,0,0
1668253212.557,12.91,13.0055,0,0,0
1668253812.609,13.82,13.0296,0,0,0
1668254412.726,13.86,13.0605,0,0,0
1668255012.62,13.8,13.0893,0,0,0
1668255612.627,14.39,13.110999999999999,0,0,0
1668256212.631,15.45,13.137,0,0,0
1668256812.642,15.29,13.1565,0,0,0
1668257412.617,15.03,13.1542,0,0,0
1668258012.571,15.29,13.1795,0,0,0
1668258612.607,14.19,13.2057,0,0,0
1668259212.59,14.15,13.2053,0,0,0
1668259812.618,13.88,13.2036,0,0,0
1668260412.6,13.78,13.1958,0,0,0
1668261012.745,13.84,13.1845,0,0,0
1668261612.694,13.34,13.1901,0,0,0
1668262212.655,13.41,13.1743,0,0,0
1668262812.635,13.1,13.1404,0,0,0
1668263412.662,12.57,13.1117,0,0,0
1668264012.599,12.74,13.0736,0,0,0
1668264612.59,12.45,13.0607,0,0,0
1668265212.614,12.32,13.0277,0,0,0
1668265812.646,12.05,13.0038,0,0,0
1668266412.567,12.1,12.954,0,0,0
1668267027.994,11.92,,0,0,1
1668267612.64,11.6,12.9404,0,0,0
1668268228.28,11.74,,0,0,1
1668268812.751,11.47,12.9035,0,0,0
1668269412.677,11.24,12.8753,0,0,0
1668270012.667,11.84,12.8917,0,0,0
1668270612.615,11.51,12.87,0,0,0
1668271212.63,11.26,12.8346,0,0,0
1668271828.3,10.81,,0,0,1
1668272412.597,11.02,12.8253,0,0,0
1668273012.614,11.09,12.8275,0,0,0
1668273612.589,11.29,12.7676,0,0,0
1668274212.597,11.25,12.8241,0,0,0
1668274812.575,11.01,12.7991,0,0,0
1668275412.598,11.16,12.8008,0,0,0
1668276012.633,10.95,12.7666,0,0,0
1668276612.626,10.89,12.8024,0,0,0
1668277212.63,11.26,12.7995,0,0,0
1668277812.607,11.01,12.7944,0,0,0
1668278412.561,10.84,12.7718,0,0,0
1668279012.647,11.05,12.7878,0,0,0
1668279612.619,10.62,12.7536,0,0,0
1668280212.641,10.73,12.7777,0,0,0
1668280812.616,11.73,12.7654,0,0,0
1668281412.657,10.77,12.7264,0,0,0
1668282012.623,11.31,12.7071,0,0,0
1668282612.659,10.85,12.7525,0,0,0
1668283212.715,11.01,12.7277,0,0,0
1668283812.725,11.11,12.7165,0,0,0
1668284412.648,10.57,12.7222,0,0,0
1668285012.607,10.38,12.7087,0,0,0
1668285612.558,11.32,12.7045,0,0,0
1668286212.672,10.97,12.7295,0,0,0
1668286812.537,10.68,12.7309,0,0,0
1668287412.588,11.17,12.703,0,0,0
1668288012.61,11.34,12.7244,0,0,0
1668288612.598,11.59,12.7157,0,0,0
1668289212.622,11.57,12.7087,0,0,0
1668289812.696,11.34,12.7085,0,0,0
1668290412.642,11.55,12.6967,0,0,0
1668291012.69,11.56,12.6693,0,0,0
1668291612.591,11.42,12.6926,0,0,0
1668292212.617,11.88,12.6568,0,0,0
1668292812.617,11.84,12.6794,0,0,0
1668293412.614,11.94,12.6813,0,0,0
1668294012.662,11.68,12.7039,0,0,0
1668294612.611,12.01,12.7006,0,0,0
1668295212.652,11.36,12.685,0,0,0
1668295812.557,11.72,12.6629,0,0,0
1668296412.577,11.64,12.6252,0,0,0
1668297012.683,11.44,12.6252,0,0,0
1668297612.701,11.92,12.6651,0,0,0
1668298212.687,12.21,12.6532,0,0,0
1668298812.588,11.84,12.6635,0,0,0
1668299412.577,11.75,12.6693,0,0,0
1668300012.637,12.08,12.6766,0,0,0
1668300612.601,11.98,12.6362,0,0,0
1668301212.599,11.58,12.685,0,0,0
1668301812.56,11.76,12.645,0,0,0
1668302412.588,11.94,12.6342,0,0,0
1668303012.633,12.17,12.6661,0,0,0
1668303612.609,12.04,12.6571,0,0,0
1668304212.704,12.67,12.6809,0,0,0
1668304812.741,11.6,12.6685,0,0,0
1668305412.667,11.9,12.6715,0,0,0
1668306012.662,11.91,12.6409,0,0,0
1668306612.631,12.29,12.6596,0,0,0
1668307212.631,11.93,12.6635,0,0,0
1668307812.579,11.47,12.6648,0,0,0
1668308412.649,11.59,12.6343,0,0,0
1668309012.585,11.46,12.6576,0,0,0
1668309612.618,11.92,12.6433,0,0,0
1668310212.625,12.22,12.64,0,0,0
1668310812.62,11.33,12.581,0,0,0
1668311412.62,12.12,12.5993,0,0,0
1668312012.727,12.18,12.6213,0,0,0
1668312612.711,12.16,12.6204,0,0,0
1668313212.661,12.41,12.6073,0,0,0
1668313812.587,11.36,12.6337,0,0,0
1668314412.601,12.01,12.6154,0,0,0
1668315012.618,11.73,12.6298,0,0,0
1668315612.614,12.54,12.6068,0,0,0
1668316212.629,12.59,12.6227,0,0,0
1668316812.61,12.28,12.5763,0,0,0
1668317412.622,12.13,12.5872,0,0,0
1668318012.618,12.27,12.6159,0,0,0
1668318612.694,11.87,12.5767,0,0,0
1668319212.691,11.7,12.584000000000001,0,0,0
1668319812.712,11.58,12.5457,0,0,0
1668320412.666,12.89,12.5953,0,0,0
1668321012.622,11.94,12.6205,0,0,0
1668321612.624,12.05,12.6136,0,0,0
1668322212.53,12.24,12.6222,0,0,0
1668322812.587,12.94,12.6381,0,0,0
1668323412.589,12.43,12.612,0,0,0
1668324012.655,11.83,12.6033,0,0,0
1668324612.55,11.73,12.6035,0,0,0
1668325212.611,12.11,12.6232,0,0,0
1668325812.677,12.64,12.6209,0,0,0
1668326412.722,11.59,12.5667,0,0,0
1668327012.689,11.75,12.6048,0,0,0
1668327612.708,12.36,12.6,0,0,0
1668328212.621,12.14,12.6362,0,0,0
1668328812.591,11.84,12.6381,0,0,0
1668329412.606,12.26,12.6033,0,0,0
1668330012.629,12.01,12.573,0,0,0
1668330612.608,12.31,12.6344,0,0,0
1668331212.603,12.29,12.6451,0,0,0
1668331812.616,11.87,12.6191,0,0,0
1668332412.577,11.89,12.618,0,0,0
1668333012.573,11.44,12.6381,0,0,0
1668333612.747,11.85,12.6399,0,0,0
1668334212.695,11.9,12.6415,0,0,0
1668334812.665,11.91,12.6409,0,0,0
1668335412.56,12.01,12.6272,0,0,0
1668336012.569,11.63,12.6366,0,0,0
1668336612.551,11.12,12.644,0,0,0
1668337212.665,11.91,12.6349,0,0,0
1668337812.647,11.79,12.6211,0,0,0
1668338412.655,11.85,12.6229,0,0,0
1668339012.603,12.09,12.6513,0,0,0
1668339612.58,12.03,12.6551,0,0,0
1668340212.649,12.33,12.6679,0,0,0
1668340812.702,11.78,12.6847,0,0,0
1668341412.686,12.36,12.6775,0,0,0
1668342012.66,12.14,12.6821,0,0,0
1668342612.611,12.27,12.6745,0,0,0
1668343212.607,12.04,12.675999999999998,0,0,0
1668343812.605,12.27,12.6782,0,0,0
1668344412.637,12.92,12.6734,0,0,0
1668345012.648,12.46,12.6651,0,0,0
1668345612.592,12.21,12.6734,0,0,0
1668346212.673,12.16,12.6644,0,0,0
1668346812.631,12.16,12.6827,0,0,0
1668347412.687,12.59,12.6698,0,0,0
1668348012.757,11.83,12.6455,0,0,0
1668348612.717,11.75,12.6746,0,0,0
1668349212.705,11.79,12.6656,0,0,0
1668349812.572,12.12,12.6573,0,0,0
1668350412.638,12.59,12.6507,0,0,0
1668351012.539,12.59,12.6353,0,0,0
1668351612.655,12.39,12.6478,0,0,0
1668352212.637,12.36,12.6337,0,0,0
1668352812.661,12.58,12.6192,0,0,0
1668353412.64,12.22,12.6312,0,0,0
1668354012.638,12.39,12.6294,0,0,0
1668354612.695,13.04,12.5956,0,0,0
1668355212.701,12.33,12.6212,0,0,0
1668355812.651,11.83,12.6158,0,0,0
1668356412.696,11.81,12.5965,0,0,0
1668357012.531,11.37,12.5726,0,0,0
1668357612.627,12.28,12.6165,0,0,0
1668358212.647,11.83,12.6053,0,0,0
1668358812.582,11.71,12.6219,0,0,0
1668359412.628,12.07,12.6154,0,0,0
1668360012.585,12.45,12.6148,0,0,0
1668360612.654,11.23,12.5763,0,0,0
1668361212.54,12.08,12.5851,0,0,0
1668361812.603,12.07,12.5845,0,0,0
1668362412.748,11.83,12.5673,0,0,0
1668363012.718,12.19,12.5896,0,0,0
1668363612.637,12.3,12.5838,0,0,0
1668364212.637,12.63,12.6193,0,0,0
1668364812.605,11.96,12.6107,0,0,0
1668365412.567,11.85,12.5849,0,0,0
1668366012.592,12.46,12.6037,0,0,0
1668366612.64,12.21,12.5873,0,0,0
1668367212.604,11.92,12.5366,0,0,0
1668367812.675,12.22,12.5757,0,0,0
1668368412.582,11.92,12.5995,0,0,0
1668369012.65,12.48,12.581,0,0,0
1668369612.731,12.23,12.5698,0,0,0
1668370212.674,12.04,12.5967,0,0,0
1668370812.691,11.82,12.5162,0,0,0
1668371412.634,11.35,12.5223,0,0,0
1668372012.59,11.62,12.5966,0,0,0
1668372612.532,11.68,12.597999999999999,0,0,0
1668373212.521,11.99,12.5486,0,0,0
1668373812.678,10.99,12.5665,0,0,0
1668374412.616,11.55,12.5974,0,0,0
1668375012.622,12.44,12.5884,0,0,0
1668375612.604,11.54,12.5866,0,0,0
1668376212.697,11.49,12.5743,0,0,0
1668376812.677,11.67,12.5596,0,0,0
1668377412.697,11.69,12.5603,0,0,0
1668378012.657,11.68,12.5578,0,0,0
1668378612.566,11.59,12.5631,0,0,0
1668379212.636,11.96,12.5688,0,0,0
1668379812.594,11.82,12.5632,0,0,0
