x,y2,y3,y4,y,y1
1668384012.667,0,0,0,11.94,12.5475
1668384612.679,0,0,0,12.08,12.5356
1668385212.644,0,0,0,11.71,12.4732
1668385812.579,0,0,0,11.73,12.5456
1668386412.622,0,0,0,11.76,12.5702
1668387012.617,0,0,0,11.8,12.5515
1668387612.617,0,0,0,11.81,12.5334
1668388212.611,0,0,0,11.81,12.4579
1668388812.66,0,0,0,11.82,12.5579
1668389412.531,0,0,0,12.2,12.557
1668390012.621,0,0,0,11.49,12.5296
1668390612.657,0,0,0,11.85,12.5328
1668391212.727,0,0,0,11.78,12.4929
1668391812.692,0,0,0,11.95,12.5284
1668392412.653,0,0,0,11.19,12.5492
1668393012.644,0,0,0,11.54,12.5274
1668393612.597,0,0,0,12.1,12.5387
1668394212.652,0,0,0,11.7,12.5078
1668394812.615,0,0,0,12.57,12.5303
1668395412.656,0,0,0,11.87,12.4903
1668396012.615,0,0,0,12.03,12.5283
1668396612.663,0,0,0,12.15,12.5379
1668397212.615,0,0,0,11.93,12.5223
1668397812.662,0,0,0,12.08,12.5174
1668398412.677,0,0,0,12.11,12.5523
1668399012.716,0,0,0,12.48,12.5436
1668399612.637,0,0,0,12.38,12.5333
1668400212.677,0,0,0,12.7,12.5204
1668400812.607,0,0,0,12.46,12.5249
1668401412.653,0,0,0,12.78,12.5044
1668402012.604,0,0,0,12.95,12.5098
1668402612.599,0,0,0,11.99,12.4981
1668403212.624,0,0,0,12.07,12.5032
1668403812.632,0,0,0,11.64,12.5315
1668404412.607,0,0,0,12.53,12.5056
1668405012.655,0,0,0,12.8,12.4873
1668405612.771,0,0,0,12.29,12.5188
1668406212.639,0,0,0,12.71,12.5079
1668406812.695,0,0,0,12.39,12.5249
1668407412.596,0,0,0,12.05,12.5092
1668408012.595,0,0,0,12.36,12.4994
1668408612.644,0,0,0,12.11,12.5043
1668409212.561,0,0,0,12.36,12.4892
1668409812.615,0,0,0,12.52,12.4953
1668410412.592,0,0,0,12.33,12.4936
1668411012.64,0,0,0,12.56,12.5054
1668411612.531,0,0,0,12.34,12.4867
1668412212.591,0,0,0,11.99,12.4938
1668414614.798,0,0,0,12.37,12.4545
1668415212.631,0,0,0,12.14,12.4463
1668415812.727,0,0,0,12.45,12.4546
1668416412.637,0,0,0,12.18,12.450999999999999
1668417012.595,0,0,0,12.33,12.4529
1668417612.614,0,0,0,12.14,12.4403
1668418212.612,0,0,0,12.6,12.4304
1668418812.661,0,0,0,12.19,12.4335
1668419412.654,0,0,0,12.73,12.4092
1668420012.666,0,0,0,12.37,12.4036
1668420612.634,0,0,0,12.6,12.4073
1668421212.665,0,0,0,12.24,12.3956
1668421812.65,0,0,0,12.6,12.3979
1668422412.651,0,0,0,12.85,12.3906
1668423012.688,0,0,0,13.04,12.3892
1668423612.725,0,0,0,12.92,12.3824
1668424212.724,0,0,0,12,12.3805
1668424812.659,0,0,0,11.86,12.378
1668425412.618,0,0,0,13.22,12.3804
1668426012.664,0,0,0,12.68,12.3781
1668426612.622,0,0,0,12.51,12.3674
1668427212.536,0,0,0,12.52,12.3764
1668427812.611,0,0,0,12.91,12.3754
1668428412.609,0,0,0,13.15,12.348
1668429012.611,0,0,0,13.01,12.376
1668429612.584,0,0,0,12.63,12.3704
1668430212.672,0,0,0,12.88,12.3704
1668430812.62,0,0,0,12.42,12.3644
1668431412.631,0,0,0,12.12,12.3535
1668432012.577,0,0,0,12.7,12.3392
1668432612.623,0,0,0,12.35,12.3491
1668433212.612,0,0,0,12.38,12.3297
1668433812.695,0,0,0,12.31,12.3117
1668434412.714,0,0,0,12.49,12.3122
1668435012.673,0,0,0,12.4,12.3221
1668435612.697,0,0,0,12.16,12.3182
1668436212.62,0,0,0,12.04,12.2739
1668436812.595,0,0,0,11.65,12.2765
1668437412.618,0,0,0,12.41,12.2765
1668438012.612,0,0,0,12.36,12.2822
1668438612.555,0,0,0,11.84,12.2756
1668439212.622,0,0,0,11.58,12.2713
1668439812.597,0,0,0,12.42,12.2808
1668440412.604,0,0,0,12.55,12.2694
1668441012.598,0,0,0,12.26,12.2961
1668441612.654,0,0,0,12.66,12.2677
1668442212.651,0,0,0,12.05,12.265
1668442812.559,0,0,0,12.18,12.2873
1668443412.557,0,0,0,12.3,12.2716
1668444012.699,0,0,0,12.01,12.2664
1668444612.675,0,0,0,12.13,12.2505
1668445212.739,0,0,0,12.26,12.259
1668445812.66,0,0,0,12.23,12.28
1668446412.713,0,0,0,12.14,12.2674
1668447012.665,0,0,0,12.28,12.2273
1668447628.13,0,0,1,11.61,
1668448212.649,0,0,0,12.1,12.258
1668448812.658,0,0,0,12.39,12.2677
1668449412.613,0,0,0,12.53,12.2605
1668450012.606,0,0,0,11.95,12.1888
1668450612.63,0,0,0,11.78,12.2392
1668451212.67,0,0,0,12.49,12.2732
1668451827.883,0,0,1,12.06,
1668452412.639,0,0,0,11.76,12.2576
1668453012.671,0,0,0,11.92,12.2337
1668453612.579,0,0,0,12.07,12.2349
1668454227.961,0,0,1,11.24,
1668454812.687,0,0,0,12.19,12.2658
1668455412.651,0,0,0,11.6,12.2504
1668456012.73,0,0,0,11.87,12.2462
1668456612.675,0,0,0,11.61,12.2237
1668457212.751,0,0,0,12.01,12.2328
1668457812.605,0,0,0,12.19,12.2425
1668458412.628,0,0,0,11.54,12.2226
1668459012.619,0,0,0,11.9,12.261
1668459612.681,0,0,0,11.66,12.246
