x,y,y1,y2,y3,y4,y5,y6,y7,undefined,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25
1606820400,4.338,,4.332,,973,,1017,,,4.567,,5.4,,322,,2.815,,91.6,,,,98.1,,9.64,,6.3870000000000005,
1606824000,5.121,,5.111000000000001,,972,,1016,,,4.292,,4.4,,293.6,,2.0909999999999997,,94.8,,,,192.2,,10.77,,7.117000000000001,
1606827600,6.027,,5.9910000000000005,,972,,1016,,,2.86,,6,,268.5,,3.1489999999999996,,81.1,,,,129.3,,10.79,,7.084,
1606831200,6.502000000000001,,6.507000000000001,,972,,1016,,,0.506,,3,,231.1,,1.3730000000000002,,65.78,,,,21.27,,10.76,,7.035,
1606834800,5.728,,5.702000000000001,,972,,1016,,,1.807,,3.2,,39.17,,1.379,,76.57,,,,5.272,,10.73,,7.007000000000001,
1606838400,4.447,,4.418,,972,,1016,,,4.457,,2.7,,13.53,,1.213,,100.8,1,,,,,10.7,,7.007999999999999,
1606842000,3.6189999999999998,,3.4989999999999997,,972,,1016,,,4.564,,2.4,,45.86,,1.285,,108.2,1,,,,,10.68,,7.02,
1606845600,3.135,,3.009,,971,,1016,,,4.187,,2.5,,49.22,,1.339,,109.1,1,,,,,10.64,,7.026,
1606899600,3.365,,3.3089999999999997,,969,,1013,,,1.756,,7.8,,73.92,,4.317,,81.8,,,,176.1,,9.79,,8.82,
1606903200,4.03,,3.958,,968,,1013,,,1.82,,10.8,,72.31,,5.332999999999999,,86.3,,,,340,,10.65,,9.7,
1606906800,4.287,,4.2669999999999995,,968,,1012,,,1.475,,9.7,,68.97,,5.285,,82.3,,,,154.6,,10.66,,9.61,
1606910400,4.321000000000001,,4.294,,967,,1012,,,1.013,,8.2,,64.75,,5.272,,79.5,,,,169.6,,10.63,,9.58,
1606914000,4.353,,4.343,,967,,1012,,,0.45399999999999996,,7.8,,56.76,,4.4,,76.13,,,,78.72,,10.61,,9.59,
1606917600,4.3580000000000005,,4.343,,967,,1012,,,0.011000000000000001,,5.4,,50.51,,3.088,,73.71,,,,56.99,,10.56,,9.67,
1606921200,4.203,,4.178,,968,,1012,,,-0.373,,5,,46.98,,2.992,,72.53,,,,13.79,,10.57,,9.78,
1606924800,3.966,,3.9389999999999996,,968,,1012,,,-0.556,,4.3,,53.02,,2.283,,72.77,,,,,,10.55,,9.82,
1606928400,3.815,,3.786,,969,,1013,,,-0.34,,3.5,,51.99,,2.133,,74.7,,,,,,10.57,,9.86,
