x,y,y2,y4,y6,y8,y10,y12,y14,y16,y18,y20,y22,y24,y1,y3,y5,y7,y9,y11,y13,y15,y17,y19,y21,y23,y25
1609495200,2.472,2.461,963,1007,3.812,7.3,67.38,1.979,110.4,,90.2,8.16,6.173,,,,,,,,,1,,,,
1609498800,3.113,3.109,962,1007,3.517,5.1,49.4,2.264,103.4,,159.2,8.18,6.113,,,,,,,,,1,,,,
1609502400,3.576,3.53,962,1006,2.88,5.1,67.85,3.189,95.9,,254.2,8.16,6.049,,,,,,,,,,,,,
1609506000,4.124,4.07,962,1006,2.847,4.2,75.41,2.943,92.1,,122.9,8.08,6.168,,,,,,,,,,,,,
1609509600,4.043,3.993,962,1006,2.514,6.1,70.17,3.282,90.4,,175.1,8.08,6.277,,,,,,,,,,,,,
1609513200,3.71,3.666,962,1006,2.749,5.5,75.7,3.276,94.1,,38.21,8.09,6.394,,,,,,,,,,,,,
1609516800,3.199,3.148,962,1007,2.26,3.8,82,2.641,94.2,,1.065,8.16,6.426,,,,,,,,,,,,,
1609520400,2.989,2.911,963,1007,2.268,4.5,68.67,2.966,95.9,,,8.16,6.436,,,,,,,,,,,,,
1609524000,2.872,2.809,963,1007,2.601,4.6,71.76,2.742,98.9,,,8.17,6.419,,,,,,,,,,,,,
1609527600,2.963,2.914,963,1007,2.327,6.4,73.06,2.842,96.3,,,8.13,6.432,,,,,,,,,,,,,
1609531200,3.023,2.981,963,1008,1.574,5.8,71.9,3.068,90.8,,,8.06,6.459,,,,,,,,,,,,,
1609534800,2.931,2.873,964,1008,0.876,6,71.24,3.417,87,,,8.07,6.498,,,,,,,,,,,,,
1609538400,2.882,2.827,964,1008,0.994,6.3,70.79,3.497,88,,,8.09,6.542,,,,,,,,,,,,,
1609581600,2.732,2.674,963,1007,0.869,9.1,65.4,4.835,88.2,,50.49,8.2,6.651,,,,,,,,,,,,,
1609585200,2.748,2.697,963,1007,0.922,9.3,69.69,5.988,88.4,,91.7,8.22,6.617,,,,,,,,,,,,,
1609588800,2.873,2.84,962,1006,0.866,10.5,72.73,5.383,87.1,,211.3,8.28,6.659,,,,,,,,,,,,,
1609592400,3.027,2.997,962,1006,0.636,11.1,66.08,6.553,84.8,,99.1,8.26,6.675,,,,,,,,,,,,,
1609596000,2.948,2.906,962,1006,0.47,8.4,64.99,5.057,84.3,,66.49,8.27,6.685,,,,,,,,,,,,,
1609599600,2.827,2.78,962,1007,0.418,10,64.56,5.678,84.7,,21.09,8.31,6.694,,,,,,,,,,,,,
1609675200,2.083,2.044,965,1009,-0.139,7.7,73.33,3.277,85.8,,59.91,8.31,6.613,,,,,,,,,,,,,
1609678800,2.143,2.125,965,1009,-0.37,4.5,70.41,2.591,83.9,,98.3,8.3,6.577,,,,,,,,,,,,,
1609682400,2.098,2.088,965,1009,-0.509,4.4,64.07,2.503,83.3,,56.08,8.3,6.572,,,,,,,,,,,,,
1609686000,1.491,1.475,965,1010,0.019,4.4,62.33,2.973,90.4,,35.36,8.2,6.563,,,,,,,,,,,,,
1609934400,1.301,1.302,968,1013,-2.58,1.2,99.9,0.63,47.25,,117.9,5.658,4.357,,,,,,,,,,,,,
1609938000,1.815,1.81,968,1012,-3.49,3.3,274.1,1.168,68.22,,114.9,8.04,6.198,,,,,,,,,,,,,
1609941600,1.833,1.88,969,1013,-3.251,2,192.6,0.985,69.02,,80.7,8.03,6.204,,,,,,,,,,,,,
1609945200,2.087,2.116,969,1013,-3.165,2,229.4,0.672,68.29,,45.17,8.02,6.202,,,,,,,,,,,,,
1609948800,2.029,2.034,969,1013,-3.084,1.3,49.35,0.758,69.12,,1.169,8.01,6.2,,,,,,,,,,,,,
1609952400,1.656,1.583,969,1014,-2.135,1.5,16.09,0.743,76.63,,,8.01,6.199,,,,,,,,,,,,,
1609956000,1.314,1.139,970,1014,-1.945,2.1,42.88,1.125,80.2,,,7.996,6.201,,,,,,,,,,,,,
1609959600,1.237,1.117,970,1014,-1.691,2.3,31.59,1.409,81.8,,,8,6.191,,,,,,,,,,,,,
1609963200,1.222,1.122,970,1014,-1.635,2.4,33.52,1.426,82.1,,,7.993,6.185,,,,,,,,,,,,,
1609966800,1.143,1.029,970,1014,-1.63,2.8,41.76,1.524,82.7,,,8.01,6.183,,,,,,,,,,,,,
1609970400,1.07,0.981,970,1014,-1.577,1.7,44.84,1.199,83.3,,,8,6.187,,,,,,,,,,,,,
1609974000,1.015,0.897,970,1015,-1.761,2.2,36.91,1.409,82.7,,,8.01,6.187,,,,,,,,,,,,,
1609977600,1.118,1.052,970,1015,-1.62,2.1,43.83,1.325,82.6,,,8.01,6.183,,,,,,,,,,,,,
1609981200,1.331,1.232,970,1015,-1.479,2.2,62.24,1.208,82.4,,,8.01,6.178,,,,,,,,,,,,,
1609984800,1.601,1.484,971,1015,-1.328,2.4,94.4,1.323,81.9,,,7.999,6.174,,,,,,,,,,,,,
1609988400,1.146,1.01,970,1015,-0.854,1.6,51.95,0.801,87.7,,,7.989,6.167,,,,,,,,,,,,,
1609992000,0.689,0.606,970,1014,-0.644,2.3,42.24,1.324,91.7,,,7.993,6.162,,,,,,,,,,,,,
1609995600,0.794,0.63,970,1014,-1.094,2.6,6.716,1.377,88.6,,,7.986,6.153,,,,,,,,,,,,,
1609999200,1.818,1.74,970,1014,-1.556,5.4,133.8,2.384,79.08,,,7.98,6.151,,,,,,,,,,,,,
1610002800,1.356,1.333,970,1014,-2.542,4,115.5,2.351,75.68,,,7.981,6.146,,,,,,,,,,,,,
1610006400,1.304,1.276,970,1014,-2.28,4.4,142.9,2.085,77.47,,66.62,7.997,6.143,,,,,,,,,,,,,
1610010000,0.792,0.766,970,1015,-2.396,3.5,55.68,1.972,79.69,,61.02,8.02,6.151,,,,,,,,,,,,,
1610013600,0.76,0.621,970,1015,-2.046,2.8,46.48,1.325,82.6,,157.8,8.04,6.155,,,,,,,,,,,,,
1610017200,2.199,2.117,970,1014,-2.72,5.1,119.9,2.788,70.62,,202,8.05,6.156,,,,,,,,,,,,,
1610020800,2.381,2.386,969,1014,-2.26,4.5,126.9,2.866,71.65,,307.1,8.05,6.156,,,,,,,,,,,,,
1610024400,2.652,2.722,969,1013,-2.014,3.8,144.2,2.466,71.26,,361.6,8.08,6.167,,,,,,,,,,,,,
1610028000,3.007,3.234,969,1013,-2.494,3,155.8,1.698,66.34,,314.2,8.11,6.117,,,,,,,,,,,,,
1610031600,3.089,3.26,969,1013,-2.707,2.5,195.3,1.222,65.19,,33.74,8.11,6.07,,,,,,,,,,,,,
1610035200,2.978,2.929,969,1014,-2.18,2,347,1.042,69.37,,0.565,8.1,6.118,,,,,,,,,,,,,
1610038800,2.139,1.877,970,1014,-1.699,1.9,23.03,1.034,77.48,,,8.09,6.143,,,,,,,,,,,,,
1610042400,1.482,1.075,970,1014,-1.438,1.9,44.3,1.208,83.6,,,8.08,6.131,,,,,,,,,,,,,
1610046000,1.84,1.505,970,1014,-2.517,2,48.9,1.201,75.01,,,8.07,6.118,,,,,,,,,,,,,
1610049600,2.201,1.956,970,1015,-3.948,1.7,77.18,0.782,65.19,,,8.06,6.115,,,,,,,,,,,,,
1610053200,1.971,1.75,970,1015,-3.425,1.6,80.9,0.933,68.83,,,8.05,6.12,,,,,,,,,,,,,
1610056800,2.284,2.248,970,1015,-2.04,4.4,190.7,2.588,73.59,,,8.03,6.058,,,,,,,,,,,,,
1610060400,2.179,2.154,971,1015,-2.134,3.8,204.6,2.683,73.53,,,8.01,6.092,,,,,,,,,,,,,
1610064000,1.99,2,971,1015,-1.152,4.5,213.4,3.022,79.94,,,8.01,6.091,,,,,,,,,,,,,
1610067600,1.661,1.681,971,1015,-0.977,4.2,293.8,1.774,82.8,,,7.992,6.032,,,,,,,,,,,,,
1610071200,0.973,0.923,971,1015,-1.567,2.1,18.17,1.159,83.8,,,7.993,6.061,,,,,,,,,,,,,
1610074800,0.903,0.87,971,1015,-1.382,3.1,8.89,1.352,85.2,,,8,6.074,,,,,,,,,,,,,
1610078400,0.528,0.487,971,1015,-1.549,3.1,2.059,1.598,86.5,,,7.983,6.087,,,,,,,,,,,,,
1610082000,0.197,-0.018,970,1015,-1.437,2.2,12.45,1.124,90.5,,,7.97,6.052,,,,,,,,,,,,,
1610085600,-0.063,-0.229,971,1015,-1.1,2,28.88,1.032,94.2,,,7.966,6.089,,,,,,,,,,,,,
1610089200,-0.144,-0.265,971,1015,-1.13,1.7,26.36,0.992,94.3,,,7.978,6.082,,,,,,,,,,,,,
1610092800,0.01,-0.26,971,1015,-1.583,2.1,30.01,1.051,91.2,,87.3,7.971,6.078,,,,,,,,,,,,,
1610096400,0.866,0.81,972,1016,-0.814,4.6,235.8,2.581,89.2,,218.5,7.972,6.074,,,,,,,,,,,,,
1610100000,1.599,1.482,972,1016,-3.239,5.4,99.1,2.107,71.72,,292.4,7.981,6.065,,,,,,,,,,,,,
1610103600,1.774,1.712,971,1015,-4.225,5.8,126.1,3.693,64.96,,372.5,7.99,6.059,,,,,,,,,,,,,
1610107200,2.689,2.59,971,1015,-3.484,5.6,97.7,3.18,64.5,,396.3,8.02,6.062,,,,,,,,,,,,,
1610110800,2.809,2.729,970,1014,-2.876,5.8,115.2,3.529,66.81,,291,8.03,6.059,,,,,,,,,,,,,
1610114400,2.886,2.831,970,1015,-3.67,6.2,77.04,3.196,62.52,,233.6,8,6.055,,,,,,,,,,,,,
1610118000,3.403,3.249,970,1015,-3.774,5.2,83.6,2.984,60.21,,47.83,7.99,6.049,,,,,,,,,,,,,
1610121600,2.819,2.721,971,1015,-3.953,4.4,86.8,2.782,61.68,,1.503,7.956,6.063,,,,,,,,,,,,,
1610125200,1.665,1.513,971,1015,-3.769,3.3,60.13,2.039,68.26,,,7.945,6.053,,,,,,,,,,,,,
1610128800,0.757,0.482,971,1015,-3.168,3.6,60.54,2.388,76.81,,,7.932,6.053,,,,,,,,,,,,,
1610132400,0.461,0.259,971,1015,-3.179,5.1,64.68,2.9,77.99,,,7.916,6.053,,,,,,,,,,,,,
1610136000,0.532,0.385,971,1016,-3.629,5.3,66.91,3.12,74.71,,,7.903,6.047,,,,,,,,,,,,,
