system:index,ST,ST_unc,coverage,sensor,time_utc,time_utc+1,time_unix
1_2_LC08_196027_20220112,4.37438804,2.51,1.00207696,LANDSAT_8,2022-01-12 10:22:55,2022-01-12 11:22:55,1641982975
1_2_LC08_196028_20220112,4.42907636,2.41,1.001916287,LANDSAT_8,2022-01-12 10:23:19,2022-01-12 11:23:19,1641982999
2_LC09_195028_20220113,6.69864164,2.17,1.00207696,LANDSAT_9,2022-01-13 10:17:08,2022-01-13 11:17:08,1642069028
1_2_LC08_195028_20220121,6.94132106,2.14,1.00207696,LANDSAT_8,2022-01-21 10:17:05,2022-01-21 11:17:05,1642760225
1_2_LC08_196027_20220128,6.32265944,2.14,1.00207696,LANDSAT_8,2022-01-28 10:22:49,2022-01-28 11:22:49,1643365369
1_2_LC08_196028_20220128,6.32265944,2.17,1.001916287,LANDSAT_8,2022-01-28 10:23:13,2022-01-28 11:23:13,1643365393
2_LC09_195028_20220129,6.73282184,2.09,1.00207696,LANDSAT_9,2022-01-29 10:17:10,2022-01-29 11:17:10,1643451430
1_1_2_LE07_196028_20220205,6.68496956,2.55,0.980085863,LANDSAT_7,2022-02-05 09:07:01,2022-02-05 10:07:01,1644052021
2_LC09_196027_20220205,7.03702562,2.09,1.00207696,LANDSAT_9,2022-02-05 10:22:57,2022-02-05 11:22:57,1644056577
2_LC09_196028_20220205,7.0336076,2.09,1.001916287,LANDSAT_9,2022-02-05 10:23:20,2022-02-05 11:23:20,1644056600
1_2_LC08_196027_20220213,6.076562,2.13,1.00207696,LANDSAT_8,2022-02-13 10:22:46,2022-02-13 11:22:46,1644747766
1_2_LC08_196028_20220213,6.07314398,2.12,1.001916287,LANDSAT_8,2022-02-13 10:23:10,2022-02-13 11:23:10,1644747790
1_2_LC08_195028_20220222,4.51110884,3.03,1.00207696,LANDSAT_8,2022-02-22 10:16:56,2022-02-22 11:16:56,1645525016
1_2_LC08_196027_20220301,0.3513785,5.89,0.96072668,LANDSAT_8,2022-03-01 10:22:42,2022-03-01 11:22:42,1646130162
1_1_2_LE07_196028_20220309,6.56192084,2.87,1.001916287,LANDSAT_7,2022-03-09 09:03:51,2022-03-09 10:03:51,1646816631
